port_name,original_count,normalized_count,cleaned_count,total_occurrences,first_appears,notes
CARDIFF,1606,0,0,1606,original,removed as artifact
CARDIGAN,7,0,0,7,original,removed as artifact
CARLISLE,2,0,0,2,original,removed as artifact
CARNARVON,23,0,0,23,original,removed as artifact
CASTLETOWN,3,0,0,3,original,removed as artifact
CHARLESTOWN,133,0,0,133,original,removed as artifact
CHARLTON,0,0,3,3,cleaned,consolidated to parent city
CHARLTON BUOYS,3,3,0,3,original,removed as artifact
CHESTER,54,0,0,54,original,removed as artifact
CHICAGO,1,1,1,1,original,
CHURCH HOLE,1,1,1,1,original,
CLIFF'S CREEK,2,2,2,2,original,
CLIFFE CREEK,5,5,5,5,original,
COLCHESTER,23,0,0,23,original,removed as artifact
COLERAINE,4,4,4,4,original,
COMMERCIAL DOCKS,44,44,46,46,"original, cleaned",consolidated to parent city
CORK,55,55,55,55,original,
COTTON'S,0,0,5,5,cleaned,consolidated to parent city
COTTON'S WHARF,5,5,0,5,original,removed as artifact
COWES,11,0,0,11,original,removed as artifact
CUSTOM HOUSE,1,1,1,1,original,
Cardiff,0,1606,1638,1638,"normalized, cleaned",consolidated to parent city
Cardigan,0,7,7,7,normalized,consolidated to parent city
Carlisle,0,2,2,2,normalized,consolidated to parent city
Carnavon,0,26,26,26,normalized,consolidated to parent city
Castletown,0,3,3,3,normalized,consolidated to parent city
Charleston,0,133,133,133,normalized,consolidated to parent city
Chester,0,54,54,54,normalized,consolidated to parent city
Colchester,0,23,23,23,normalized,consolidated to parent city
Cowes,0,11,11,11,normalized,consolidated to parent city
DARTMOUTH,8,8,8,8,original,
DEADMAN,0,0,1,1,cleaned,consolidated to parent city
DEADMAN DOCK BUOYS,1,1,0,1,original,removed as artifact
DEADMAN'S,0,0,4,4,cleaned,consolidated to parent city
DEADMAN'S BUOYS,2,2,0,2,original,removed as artifact
DEADMAN'S DOCK,2,2,2,2,original,
DEADMAN'S DOCK BUOYS,2,2,0,2,original,removed as artifact
DEADMAN'S DOCKS BROKERAGE,1,1,1,1,original,
DEAL,2,0,0,2,original,removed as artifact
DEPTFORD,34,34,38,38,"original, cleaned",consolidated to parent city
DEPTFORD BUOYS,4,4,0,4,original,removed as artifact
DIVIDENDS,1,1,0,1,original,removed as artifact
DOUGLAS,13,0,0,13,original,removed as artifact
DOUGLAS (ISLE OF MAN),4,4,4,4,original,
DOVER,32,0,0,32,original,removed as artifact
DROGHEDA,5,5,5,5,original,
DUBLIN,122,122,125,125,"original, cleaned",consolidated to parent city
DUNBAR,4,4,4,4,original,
DUNDALK,40,40,44,44,"original, cleaned",consolidated to parent city
DUNDEE,1017,0,0,1017,original,removed as artifact
Dal,0,2,2,2,normalized,consolidated to parent city
Douglas,0,13,13,13,normalized,consolidated to parent city
Dover,0,32,32,32,normalized,consolidated to parent city
Dundee,0,1017,1036,1036,"normalized, cleaned",consolidated to parent city
EAST INDIA DOCKS,3,3,3,3,original,
ENGLAND AND WALES,15,15,15,15,original,
ERITH,1,1,1,1,original,
ERRATA,20,20,0,20,original,removed as artifact
ERRATUM,4,4,4,4,original,
EXETER,24,0,0,24,original,removed as artifact
Exeter,0,24,24,24,normalized,consolidated to parent city
FAILURES AND ARRANGEMENTS,8,8,0,8,original,removed as artifact
FALMOUTH,16,0,0,16,original,removed as artifact
FAVERSHAM,28,0,0,28,original,removed as artifact
FISHEROW,1,1,1,1,original,
FISHERROWS,4,4,4,4,original,
FLEETWOOD,56,0,0,56,original,removed as artifact
FLETCHER'S,0,0,1,1,cleaned,consolidated to parent city
FLETCHER'S BUOYS,1,1,0,1,original,removed as artifact
FOLKESTONE,18,0,0,18,original,removed as artifact
FORT GLASGOW,1,1,1,1,original,
FOWEY,30,0,0,30,original,removed as artifact
FRASERBURGH,46,0,0,46,original,removed as artifact
FREIGHT AND SHORT DELIVERY,1,1,1,1,original,
FREIGHTS,15,15,0,15,original,removed as artifact
FRESH,0,0,2,2,cleaned,consolidated to parent city
FRESH WHARF,2,2,0,2,original,removed as artifact
Falmouth,0,16,16,16,normalized,consolidated to parent city
Faversham,0,28,28,28,normalized,consolidated to parent city
Fleetwood,0,56,56,56,normalized,consolidated to parent city
Folkestone,0,18,18,18,normalized,consolidated to parent city
Fowey,0,30,30,30,normalized,consolidated to parent city
Fraserburgh,0,46,46,46,normalized,consolidated to parent city
GALLEON'S,0,0,1,1,cleaned,consolidated to parent city
GALLEON'S BUOYS,1,1,0,1,original,removed as artifact
GALWAY,15,15,15,15,original,
GLASGOW,662,0,0,662,original,removed as artifact
GLOUCESTER,324,0,0,324,original,removed as artifact
GOOLE,132,0,0,132,original,removed as artifact
GOVERNMENT,0,0,1,1,cleaned,consolidated to parent city
GOVERNMENT DOCK BUOYS,1,1,0,1,original,removed as artifact
GRANGE MOUTH,1,0,0,1,original,removed as artifact
GRANGEMOUTH,989,0,0,989,original,removed as artifact
GRANTON,379,0,0,379,original,removed as artifact
GRANVILLE DOCKS,1,1,1,1,original,
GRAVESEND,7,7,7,7,original,
GRAYS,8,8,8,8,original,
GREAT YARMOUTH,99,99,117,117,"original, cleaned",consolidated to parent city
GREENHITHE,13,13,13,13,original,
GREENOCK,264,0,0,264,original,removed as artifact
GREENWICH,1,1,1,1,original,
GRENOCK,3,0,0,3,original,removed as artifact
GRIMSBY,886,0,0,886,original,removed as artifact
Glasglow,0,662,671,671,"normalized, cleaned",consolidated to parent city
Gloucester,0,324,364,364,"normalized, cleaned",consolidated to parent city
Goole,0,132,132,132,normalized,consolidated to parent city
Grangemouth,0,990,1009,1009,"normalized, cleaned",consolidated to parent city
Granton,0,379,380,380,"normalized, cleaned",consolidated to parent city
Greenock,0,267,269,269,"normalized, cleaned",consolidated to parent city
Grimsby,0,886,889,889,"normalized, cleaned",consolidated to parent city
HANOVER HOLE,11,11,11,11,original,
HARTLEPOOL,4,4,4,4,original,
HARTLEPOOL (WEST),1013,0,0,1013,original,removed as artifact
HARWICH,57,0,0,57,original,removed as artifact
HAVRE,2,0,0,2,original,removed as artifact
HAYLE,1,1,1,1,original,
HORS LEYDOWN,1,1,1,1,original,
HORSELYDOWN,1,1,1,1,original,
HORSLEYDOWN,1,1,1,1,original,
HULL,2526,0,0,2526,original,removed as artifact
Hartlepool (West),0,1014,1017,1017,"normalized, cleaned",consolidated to parent city
Harwich,0,57,59,59,"normalized, cleaned",consolidated to parent city
Havre,0,2,2,2,normalized,consolidated to parent city
