year,destination_port,ship_count,latitude,longitude
1887,Sligo,154,54.277488562,-8.48034919799994
1887,Wick,136,58.4430600485415,-3.09285166137693
1887,Dublin,127,53.346388727,-6.21662037199997
1887,Montrose,127,56.7213304436428,-2.46576667724605
1887,Stockton,113,,
1887,Newry,87,54.1483756060001,-6.32235385399997
1887,Goole,84,53.7029410000001,-0.876380999999981
1887,London (Deptford Buoys),71,51.5073509000001,-0.127758299999982
1887,Fowey,70,50.3349900000001,-4.63652499999995
1887,Londonderry,56,55.0114105220001,-7.30041944099997
1887,Troon,53,55.5444127055824,-4.67361271972649
1887,London (London Docks),48,51.5073509000001,-0.127758299999982
1887,Exeter,47,50.7184120000001,-3.53389899999991
1887,Wexford,44,52.3386830540001,-6.45647567999993
1887,Cork,43,51.9014959520001,-8.44685895399994
1887,Limerick,38,,
1887,FOREIGN,31,,
1887,Truro,29,50.2631950000001,-5.05104099999994
1887,Dover,23,51.1278758,1.31340270000004
1887,Runcorn,23,53.3420780000001,-2.72967299999999
1887,Cowes,22,50.7627850000001,-1.30053299999997
1887,Milford,22,,
