original_port,ship_count,category_hint,action,map_to_port,notes
"Liverpool, N.S.",2,likely_variant,,,
Port Hill,2,likely_variant,,,
Granville,2,likely_variant,,,
Dronthiem,2,likely_variant,,,
Orleans,2,likely_variant,,,
Darklkahn,2,likely_variant,,,
Fredrikshamm,2,likely_variant,,,
"Bangor, U.S.",2,likely_variant,,,
Anna,2,likely_variant,,,
"New Richmond, N.B.",2,likely_variant,,,
Geschwister,2,likely_variant,,,
"Portland, U.S.A.",2,likely_variant,,,
'Hambro',2,likely_variant,,,
Sandifjord,2,likely_variant,,,
Almeria,2,likely_variant,,,
and,2,likely_variant,,,
Presto,2,likely_variant,,,
Guysboro',2,likely_variant,,,
Hakala,2,likely_variant,,,
Caraminas,2,likely_variant,,,
Dramn,2,likely_variant,,,
Levo,2,likely_variant,,,
Anga,2,likely_variant,,,
Alloa,2,likely_variant,,,
Por,2,likely_variant,,,
Mculmein,2,likely_variant,,,
BayVerte,2,likely_variant,,,
"Picton, N.S.",2,likely_variant,,,
Horsens,2,likely_variant,,,
Monsteraas,2,likely_variant,,,
Fischer,2,likely_variant,,,
-Riga,2,likely_variant,,,
Passages,2,likely_variant,,,
Kragerroe,2,likely_variant,,,
Hofvid,2,likely_variant,,,
"Hillbrough, N.S.",2,likely_variant,,,
Archachon,2,likely_variant,,,
Orient,2,likely_variant,,,
Klintsham,2,likely_variant,,,
Asunder,2,likely_variant,,,
Eriksdal,2,likely_variant,,,
Dramman,2,likely_variant,,,
Henneboat,2,likely_variant,,,
Throndhjem,2,likely_variant,,,
Loient,2,likely_variant,,,
"Bathurst, Gulf of St. Lawrence",2,likely_variant,,,
Le Tremblade,2,likely_variant,,,
Oreground,2,likely_variant,,,
Grundvik,2,likely_variant,,,
Bio,2,likely_variant,,,
Panama,2,likely_variant,,,
Hafendamm,2,likely_variant,,,
Lu'ea,2,likely_variant,,,
Nortelge,2,likely_variant,,,
Marstrand,2,likely_variant,,,
Maja,2,likely_variant,,,
Boroka,2,likely_variant,,,
Cagliari,2,likely_variant,,,
Bergquara,2,likely_variant,,,
Filtvedt,2,likely_variant,,,
Kohlboda,2,likely_variant,,,
Curacoa,2,likely_variant,,,
Foxe,2,likely_variant,,,
Norfolk and Newport News,2,likely_variant,,,
"Pictou, N.B.",2,likely_variant,,,
Fredrikvoern,2,likely_variant,,,
Puebla del Caraminal,2,likely_variant,,,
Axmarby,2,likely_variant,,,
Luvia,2,likely_variant,,,
Liban,2,likely_variant,,,
Drangsund,2,likely_variant,,,
Boncan,2,likely_variant,,,
Mayaguez,2,likely_variant,,,
Hofund,2,likely_variant,,,
Sapilo,2,likely_variant,,,
Lofvik,2,likely_variant,,,
Kotja,2,likely_variant,,,
Pernovik,2,likely_variant,,,
Russia,2,likely_variant,,,
Risby,2,likely_variant,,,
Repola,2,likely_variant,,,
"Axim, W.C. Africa",2,likely_variant,,,
Nouvelle,2,likely_variant,,,
Exploits Bay,2,likely_variant,,,
"Cutting, Ground",2,likely_variant,,,
Hernebont,2,likely_variant,,,
"Norfolk, VA.",2,likely_variant,,,
Tromblade,2,likely_variant,,,
Westervick,2,likely_variant,,,
Jacksonville,2,likely_variant,,,
"Sapelo, Ga",2,likely_variant,,,
"Hopewell Cape, N.B.",2,likely_variant,,,
Namso,2,likely_variant,,,
Cristinestad,2,likely_variant,,,
"Sapelo, Ga.",2,likely_variant,,,
Onkedalsorn,1,ambiguous_low_freq,,,
Zanzibar,1,ambiguous_low_freq,,,
Papenberg,1,ambiguous_low_freq,,,
Olofsford,1,ambiguous_low_freq,,,
River Saguenay,1,ambiguous_low_freq,,,
Kothka,1,ambiguous_low_freq,,,
Esborg,1,ambiguous_low_freq,,,
Corfu,1,ambiguous_low_freq,,,
Bolderaa,1,ambiguous_low_freq,,,
John,1,ambiguous_low_freq,,,
Gallsta,1,ambiguous_low_freq,,,
Dohlkarsla,1,ambiguous_low_freq,,,
Lower Lauenburg,1,ambiguous_low_freq,,,
Port Saunders,1,ambiguous_low_freq,,,
Skonwick,1,ambiguous_low_freq,,,
Carlisle Bay,1,ambiguous_low_freq,,,
Windsor,1,ambiguous_low_freq,,,
Kungshamn,1,ambiguous_low_freq,,,
Mabon,1,ambiguous_low_freq,,,
Lepreux,1,ambiguous_low_freq,,,
Soraka,1,ambiguous_low_freq,,,
Kungsbacka,1,ambiguous_low_freq,,,
Grand Bay,1,ambiguous_low_freq,,,
Narrkoping,1,ambiguous_low_freq,,,
Hernefors,1,ambiguous_low_freq,,,
Sunds Bolog,1,ambiguous_low_freq,,,
Milk River,1,ambiguous_low_freq,,,
Whyncomah,1,ambiguous_low_freq,,,
Paris,1,ambiguous_low_freq,,,
Smyrna,1,ambiguous_low_freq,,,
teak,1,ambiguous_low_freq,,,
Wanks River,1,ambiguous_low_freq,,,
Batavia,1,ambiguous_low_freq,,,
Mogensen,1,ambiguous_low_freq,,,
Dobay,1,ambiguous_low_freq,,,
Mahone Bay,1,ambiguous_low_freq,,,
Newburgh,1,ambiguous_low_freq,,,
Ranmo,1,ambiguous_low_freq,,,
Aruskjoldvick,1,ambiguous_low_freq,,,
Bureo,1,ambiguous_low_freq,,,
Vitea,1,ambiguous_low_freq,,,
Nyburg,1,ambiguous_low_freq,,,
Flekkiefiord,1,ambiguous_low_freq,,,
Laguno,1,ambiguous_low_freq,,,
Boutouche,1,ambiguous_low_freq,,,
Arehangel,1,ambiguous_low_freq,,,
City of Son,1,ambiguous_low_freq,,,
Sourabaya,1,ambiguous_low_freq,,,
Sandeflord,1,ambiguous_low_freq,,,
Delfshaven,1,ambiguous_low_freq,,,
Champion Bay,1,ambiguous_low_freq,,,
Vamsos,1,ambiguous_low_freq,,,
Troon,1,ambiguous_low_freq,,,
Christine,1,ambiguous_low_freq,,,
Hantsport,1,ambiguous_low_freq,,,
Westawaif,1,ambiguous_low_freq,,,
Pontorson,1,ambiguous_low_freq,,,
Alufors,1,ambiguous_low_freq,,,
Skepfovik,1,ambiguous_low_freq,,,
Levarger,1,ambiguous_low_freq,,,
Bjneborg,1,ambiguous_low_freq,,,
Borgo,1,ambiguous_low_freq,,,
lathwood,1,ambiguous_low_freq,,,
Salsburg,1,ambiguous_low_freq,,,
Santander,1,ambiguous_low_freq,,,
Saltock,1,ambiguous_low_freq,,,
Ferdinandina,1,ambiguous_low_freq,,,
Hoenash,1,ambiguous_low_freq,,,
Frederikshall,1,ambiguous_low_freq,,,
Kimouski,1,ambiguous_low_freq,,,
Russoar,1,ambiguous_low_freq,,,
Rika,1,ambiguous_low_freq,,,
Robertshor,1,ambiguous_low_freq,,,
Niedercallix,1,ambiguous_low_freq,,,
Kopmanholman,1,ambiguous_low_freq,,,
Sundabolay,1,ambiguous_low_freq,,,
Reonneby,1,ambiguous_low_freq,,,
Draget,1,ambiguous_low_freq,,,
Port Glasgow,1,ambiguous_low_freq,,,
Sunnas,1,ambiguous_low_freq,,,
Pearl River,1,ambiguous_low_freq,,,
Sandioford,1,ambiguous_low_freq,,,
Herre,1,ambiguous_low_freq,,,
Oxarhaven,1,ambiguous_low_freq,,,
Dobery,1,ambiguous_low_freq,,,
Nossi Be,1,ambiguous_low_freq,,,
Fort Cortes,1,ambiguous_low_freq,,,
Vesta,1,ambiguous_low_freq,,,
Wava,1,ambiguous_low_freq,,,
Cimbritshamn,1,ambiguous_low_freq,,,
Sjune,1,ambiguous_low_freq,,,
Mass,1,ambiguous_low_freq,,,
Mose,1,ambiguous_low_freq,,,
Katka,1,ambiguous_low_freq,,,
Sandssund,1,ambiguous_low_freq,,,
Nyrvik,1,ambiguous_low_freq,,,
Petea,1,ambiguous_low_freq,,,
Ostrana,1,ambiguous_low_freq,,,
Vegesack,1,ambiguous_low_freq,,,
Ornskolksvik,1,ambiguous_low_freq,,,
Ruchee,1,ambiguous_low_freq,,,
Njvik,1,ambiguous_low_freq,,,
deals,1,ambiguous_low_freq,,,
Asbacker,1,ambiguous_low_freq,,,
Forsly Ham,1,ambiguous_low_freq,,,
Drebak,1,ambiguous_low_freq,,,
Milsamvig,1,ambiguous_low_freq,,,
Ulindaw,1,ambiguous_low_freq,,,
Lauivg,1,ambiguous_low_freq,,,
Nassau Tonala,1,ambiguous_low_freq,,,
Tignish,1,ambiguous_low_freq,,,
Curagoa,1,ambiguous_low_freq,,,
Tapilco,1,ambiguous_low_freq,,,
Lagunade,1,ambiguous_low_freq,,,
Matawa,1,ambiguous_low_freq,,,
East Port,1,ambiguous_low_freq,,,
Three Islands,1,ambiguous_low_freq,,,
Rio Hacha,1,ambiguous_low_freq,,,
Joannesund,1,ambiguous_low_freq,,,
Laurrig,1,ambiguous_low_freq,,,
Stege,1,ambiguous_low_freq,,,
Risier,1,ambiguous_low_freq,,,
Wefsel,1,ambiguous_low_freq,,,
Frangsound,1,ambiguous_low_freq,,,
Cronstudt,1,ambiguous_low_freq,,,
Windaw,1,ambiguous_low_freq,,,
Orendal,1,ambiguous_low_freq,,,
Klasviken,1,ambiguous_low_freq,,,
Vefser,1,ambiguous_low_freq,,,
Wardoe,1,ambiguous_low_freq,,,
Frederiksen,1,ambiguous_low_freq,,,
Sundsvoern,1,ambiguous_low_freq,,,
Vardo,1,ambiguous_low_freq,,,
Sandefurd,1,ambiguous_low_freq,,,
Christianstadt,1,ambiguous_low_freq,,,
Wisbey,1,ambiguous_low_freq,,,
Biornebora,1,ambiguous_low_freq,,,
Oscar,1,ambiguous_low_freq,,,
Middlepart,1,ambiguous_low_freq,,,
