port_type,port_name,ship_count,action,map_to_port,notes
destination,OTHER DOCKS AND WHARFS,1,REVIEW,,Dock/wharf - needs context to determine city
destination,GREENWICH,1,,,
destination,WISPECH,1,,,
destination,AND VIENNA,1,,,
destination,HORSELYDOWN,1,,,
destination,HORS LEYDOWN,1,,,
destination,TUNNEL PIER,1,REVIEW,,Dock/wharf - needs context to determine city
destination,GOVERNMENT DOCK BUOYS,1,REVIEW,,Dock/wharf - needs context to determine city
destination,OPENING OF A NEW TIMBER YARD,1,,,
destination,PEART'S BLUE OR TIMBER MARKING INK,1,,,
destination,GRANVILLE DOCKS,1,REVIEW,,Dock/wharf - needs context to determine city
destination,PRINCE REGENT'S CANAL DOCKS,1,REVIEW,,Dock/wharf - needs context to determine city
destination,A LARGE STOCK KEPT,1,,,
destination,CUSTOM HOUSE,1,,,
destination,MARK BROWN'S WHARF,1,REVIEW,,Dock/wharf - needs context to determine city
destination,ST. KATHARINE'S WHARF,1,REVIEW,,Dock/wharf - needs context to determine city
destination,KATHARINE'S DOCK,1,REVIEW,,Dock/wharf - needs context to determine city
destination,PRINCE'S WHARF,1,REVIEW,,Dock/wharf - needs context to determine city
destination,B. AND F. S. WHARF,1,REVIEW,,Dock/wharf - needs context to determine city
destination,SHEERNESS DOCKYARD,1,REVIEW,,Dock/wharf - needs context to determine city
destination,FREIGHT AND SHORT DELIVERY,1,,,
destination,LONDON SALES,1,,,
destination,FLETCHER'S BUOYS,1,REVIEW,,Dock/wharf - needs context to determine city
destination,MILLWALL STAIRS,1,,,
destination,BARKING CREEK,1,,,
destination,QUEBEC DOCKS,1,REVIEW,,Dock/wharf - needs context to determine city
destination,GALLEON'S BUOYS,1,REVIEW,,Dock/wharf - needs context to determine city
destination,STONE STAIRS,1,,,
destination,QUEENBORO',1,,,
destination,DEADMAN'S DOCKS BROKERAGE,1,REVIEW,,Dock/wharf - needs context to determine city
destination,DEADMAN DOCK BUOYS,1,REVIEW,,Dock/wharf - needs context to determine city
destination,BEITH,1,,,
destination,FRESH SPARS,1,,,
destination,CHINNOCK WHARF,1,REVIEW,,Dock/wharf - needs context to determine city
destination,HARNAS,1,,,
destination,W. I. D. BUOYS,1,REVIEW,,Dock/wharf - needs context to determine city
destination,REAL FRENCH BAND SAWS,1,,,
destination,ROSCARBOROUGH,1,,,
destination,DOCKHEAD,1,REVIEW,,Dock/wharf - needs context to determine city
destination,B. AND F. WHARF,1,REVIEW,,Dock/wharf - needs context to determine city
destination,TRCON,1,,,
destination,HORSLEY DOWN,1,,,
destination,MARK'S WHARF,1,REVIEW,,Dock/wharf - needs context to determine city
destination,FENNING'S WHARF,1,REVIEW,,Dock/wharf - needs context to determine city
destination,BROWN'S WHARF,1,REVIEW,,Dock/wharf - needs context to determine city
destination,NOVA SCOTIA LUMBER NEWS,1,,,
destination,F. S. WHARF,1,REVIEW,,Dock/wharf - needs context to determine city
destination,MECHANICAL WOOD PULP,1,,,
destination,YORKHILL,1,,,
destination,ST. OLIVE'S WHARF,1,REVIEW,,Dock/wharf - needs context to determine city
destination,DOORS AND WINDOWS MADE TO ORDER,1,,,
destination,ABERDOVEY,1,,,
destination,GRAYSHOTT,1,,,
destination,CHARLTON,1,,,
destination,NORTH WOOLWICH BUOYS,1,REVIEW,,Dock/wharf - needs context to determine city
destination,WEST INDIA DOCKS BUOYS,1,REVIEW,,Dock/wharf - needs context to determine city
destination,GRAVESEND BUOYS,1,REVIEW,,Dock/wharf - needs context to determine city
destination,ACCEPTED TENDERS FOR ENGINEERING AND BUILDING WORKS,1,,,
destination,ODESSA STAVES,1,,,
destination,DS,1,,,
destination,WOOLWICH BUOYS,1,REVIEW,,Dock/wharf - needs context to determine city
destination,WHITSTABLE,1,,,
destination,DEADMAN'S,1,,,
destination,EX REDSTART,1,,,
destination,ST. KATHERINE'S DOCKS,1,REVIEW,,Dock/wharf - needs context to determine city
destination,ST. KATHARINE DOCKS,1,REVIEW,,Dock/wharf - needs context to determine city
destination,ST. KATHARINE DOCK,1,REVIEW,,Dock/wharf - needs context to determine city
destination,PENARTH,1,,,
destination,WICKLOW,1,,,
destination,OAK WAINSCOT BOARDS,1,,,
destination,BUSINESS FOR SALE,1,,,
destination,OAK PLANCONS,1,,,
destination,ABERDEEN MECHANICAL SOCIETY,1,,,
destination,OAK WAINSCOT LOGS,1,,,
destination,& COFFIN STUFF,1,,,
destination,PITCH PINE PILING,1,,,
destination,IA AND ALBERT DOCK,1,REVIEW,,Dock/wharf - needs context to determine city
destination,AND ALL VARIETIES OF FANCYWOODS,1,,,
destination,QUEENSTOWN,1,,,
destination,WATERLOO DOCK,1,REVIEW,,Dock/wharf - needs context to determine city
destination,MOUTH,1,,,
destination,HAVEN,1,,,
destination,GATE,1,,,
destination,ESTER,1,,,
destination,ROUGH,1,,,
destination,EHAM,1,,,
destination,ERLAND,1,,,
destination,ANSEA,1,,,
destination,TOWER DOCK,1,REVIEW,,Dock/wharf - needs context to determine city
destination,ST. HELENS,1,,,
destination,STANLEY DOCK,1,REVIEW,,Dock/wharf - needs context to determine city
destination,MORPETH DOCK,1,REVIEW,,Dock/wharf - needs context to determine city
destination,SURREY AND ALBERT DOCKS,1,REVIEW,,Dock/wharf - needs context to determine city
destination,OAK RAILS,1,,,
destination,WHITEWOOD SLEEPERS,1,,,
destination,HACMATAC,1,,,
destination,QUARTERED OAK FLOORING,1,,,
destination,COXTETH DOCK,1,REVIEW,,Dock/wharf - needs context to determine city
destination,HOSKISSON DOCK,1,REVIEW,,Dock/wharf - needs context to determine city
destination,GEORGIAN DOCK,1,REVIEW,,Dock/wharf - needs context to determine city
destination,AND WHARVES,1,,,
destination,CARRIER DOCK,1,REVIEW,,Dock/wharf - needs context to determine city
destination,CHEPSTOW,1,,,
destination,FORTHCOMING AUCTION SALES,1,,,
destination,GAINSBOROUGH,1,,,
destination,APPLEMORE,1,,,
destination,ALOA,1,,,
destination,DULDING,1,,,
destination,ST,1,,,
