port_type,port_name,ship_count
origin,Alfredsham,3
origin,"Chatham, N. B.",3
origin,Randers,3
origin,Dago,3
origin,Xinestad,3
origin,Halsoen,3
origin,Santa Cruz,3
origin,Nyham,3
origin,Bellon,3
origin,St. Anna,3
origin,W. Indies,3
origin,St. Ana,3
origin,Bruges,3
origin,G'burg.,3
origin,Dantzio,3
origin,Oak Bay,3
origin,Gamla Karleby,3
origin,Stockavik,3
origin,Phila,3
origin,Santos,3
origin,"St. John's, N.F.",3
origin,Sandeford,3
origin,Puerto Plata,3
origin,Zaza,3
origin,Leque,3
origin,Mesquer,3
origin,Valparaiso,3
origin,"Jordan River, N.S.",3
origin,Bjornsborg,3
origin,"Bridgewater, N.S.",3
origin,Wistawarf,3
origin,"Halifax, N.B.",3
origin,"Charleston, S.C.",3
origin,River St. Lawrence,3
origin,Jordan River,3
origin,Nevis,3
origin,Baltic,3
origin,Ystad,3
origin,Guysborough,3
origin,"St. Margaret's Bay, N.S.",3
origin,Java,3
origin,Bari,3
origin,Vera Cruz,3
origin,Tromstad,3
origin,Landscrona,3
origin,"St John, N.B.",3
origin,Levanger,3
origin,Trinidad de Cuba,3
origin,Ulenborg,3
origin,Pabos,3
origin,Lilla Vartan,3
origin,Naske,3
origin,St. Eugenia,3
origin,Rodestrand,3
origin,Nantes and Bordeaux,3
origin,Bilbao,3
origin,St. Simon's,3
origin,Kallero,3
origin,Mculmein,3
origin,Wartsala,3
origin,Metane,3
origin,Ursvik,3
origin,PUNTA ARENAS,3
origin,West Coast Africa,3
origin,Rio Janeiro,3
origin,Tillingenabben,3
origin,Kalajoki,3
origin,Obbola,3
origin,Nykjobing,3
origin,Prince Edward Island,3
origin,Rockingham,3
origin,MANZANILLO,3
origin,Axim,3
origin,Western,3
origin,Nordkoping,3
origin,New Brunswick,3
origin,"Cutting, Ground",3
origin,"St. John, N B,",3
origin,"North Port, N.S.",3
origin,"Portland, Me",3
origin,Grindstone Island,3
origin,East London,3
origin,Lavender Dk,3
origin,"Norfolk, Va",3
origin,"Port Royal, S.C.",3
origin,Horten,3
origin,Anga,3
origin,Canada,3
origin,Faaborg,2
origin,Fiume and Trieste,2
origin,Katthammarsvik,2
origin,Ullanger,2
origin,Sandswell,2
origin,Bonny,2
origin,Orleans,2
origin,Tusket,2
origin,Gothenborg,2
origin,Pillan,2
origin,Nyborg,2
origin,Chepstow,2
origin,ends,2
origin,Pont Neuf,2
origin,Dorchester,2
origin,New River,2
origin,Guysboro',2
origin,Farosund,2
origin,Sandifjord,2
origin,Haynasch,2
origin,Slitehamn,2
origin,Risoe,2
origin,Tain,2
origin,Windart,2
origin,N,2
origin,Chiltepec,2
origin,'Hambro',2
origin,Italy,2
origin,Hakala,2
origin,Carlberg,2
origin,Livingston,2
origin,Caraminas,2
origin,Emil,2
origin,Simon,2
origin,Fredericksvoern,2
origin,Economy,2
origin,"Bangor, U.S.",2
origin,Svartwik,2
origin,Hobart,2
origin,Launay,2
origin,Sodertelje,2
origin,Nyvick,2
origin,P,2
origin,Klampenborg,2
origin,Dronthiem,2
origin,Pyttis,2
origin,Denmark,2
origin,Roscoff,2
origin,Presto,2
origin,St. John N.B.,2
origin,Dublin,2
origin,Wybor,2
origin,Rander,2
origin,F'kstad,2
origin,Penzance,2
origin,St. P'burg.,2
origin,Luarca,2
origin,Sannes,2
origin,Drogheda,2
origin,San Cyprian,2
origin,St. Servan,2
origin,Newfoundland,2
origin,IN,2
origin,Milford,2
origin,Alfredshamn,2
origin,Jemtosund,2
origin,Wicklow,2
origin,Swartvick,2
origin,Gidebacha,2
origin,Stockvik,2
origin,Haynash,2
origin,Kungsgarten,2
origin,Luguvik,2
origin,Sault au Cochon,2
origin,Gefle and Skutskar,2
origin,Marma,2
origin,Olskoldsvick,2
origin,Hakkala,2
origin,Tillinge,2
origin,Forsby,2
origin,N. Orleans,2
origin,Xnia,2
origin,Croisic,2
origin,Para,2
origin,Areachon,2
origin,"Beaufort, S.C.",2
origin,Egersund,2
origin,Halmestrand,2
origin,Caramenal,2
origin,St. Jago de Cuba,2
origin,"Brunswick, Georgia",2
origin,Le'que,2
origin,Legue,2
origin,Spain,2
origin,Antigua,2
origin,Canarinas,2
origin,Cabenda,2
origin,Stenkjoer,2
origin,Portsal,2
origin,Katthammaravik,2
origin,Trehiguer,2
origin,"St. Mary's, Georgia",2
origin,Bstaiamitz,2
origin,"Joggins, N.S.",2
