commodity,origin_port,count
packages,Gothenburg,8
packages,New York,8
walnut boards,New York,8
bundles,Baltimore,8
deals,Langror,8
redwood,Gothenburg,8
half,Konigsberg,8
boards,Norrkoping,8
cs mouldings,Cologne,8
oak,Liepāja,8
planks walnut,Leghorn,8
oak,New Orleans,8
deal ends,Halifax,8
hewn fir,Riga,8
boards,Soroka,8
fir timber,Danzig,8
sleeper blocks,Ventspils,8
joinery-sandell,Gothenburg,8
spars,Sundswall,8
joinery-j sandell,Gothenburg,8
pieces,Montreal,8
boards,Uddevalla,8
boards,Uleaborg,8
boards,Xiania,8
albion yard,Co.,8
redwood,Danzig,8
logs,Riga,8
battens,Kramfors,8
battens,Simo,8
wood,Liepāja,8
from norrkoping,Stockholm,8
oak planks,Fiume,8
maxime,Gothenburg,8
sim,Christiania,8
floorings-tagart,Fredrikstad,8
pit props,Fredrikshald,8
battens,Soroka,8
bls staves,New York,8
firewood,Husum,8
ends,Gothenburg,8
battens,Torefors,8
staves,Bjorneborg,8
deals-morgan,Cronstadt,8
battens,Kemi,8
battens,Stugsund,8
firewood,Le Havre,8
battens,Finnklippan,8
hewn elm,Quebec City,8
ends,"Chatham, N. B.",8
hewn fir,Bordeaux,8
pit,Gothenburg,8
staves-churchill,Danzig,8
rosewood,Bahia,8
deals,Antwerp,7
sleepers,Christiania,7
acorn yard,Co.,7
fir,Danzig,7
boards,Saguenay,7
ebony,Amsterdam,7
boards,Svartvik,7
blocks-j keen,Christiania,7
mouldings,Skutskar,7
pit props,Uddevalla,7
staves,Venice,7
rickers-foy,St. Petersburg,7
churchill,New York,7
half-square sleepers,Riga,7
oak planks,New York,7
lumber-churchill,New York,7
boards,Skonvik,7
battens,Kragero,7
laths,Uddevalla,7
deal ends,Miramichi,7
½-sleepers,Riga,7
battens,Porsgrund,7
mahogany,Christiania,7
half,Klaipeda,7
1/2-sleepers,Riga,7
half,Riga,7
blocks,Rangoon,7
[?],Boston,7
sim,Baltimore,7
staves,Archangel,7
bundles,Newport News,7
battens,New York,7
sawn fir,Gefle,7
pit props,Sundswall,7
