port_name,ship_count,best_fuzzy_match,similarity,needs_research
SOUTH-WEST INDIA DOCKS,2,Sharpness Docks,54.1%,Yes
"NEWPORT, MON",2,Newport,73.7%,Yes
"MAY 20, 1899",2,Ramsay,33.3%,Yes
UNION DOCKS,2,Glasson Dock,60.9%,Yes
BUILDERS WOOD,2,Bideford,57.1%,Yes
COBURG DOCKS,2,Tilbury Docks,72.0%,Yes
ES KENNEDY & CO,2,Gravesend,41.7%,Yes
TILE DOCKS,2,Tilbury Docks,78.3%,Maybe
GEORGE LOVE,2,Aberdovey,50.0%,Yes
WIDNES DOCK,2,Sharpness Docks,61.5%,Yes
SUNDQUIST & CO,2,Sault an Cochon,48.3%,Yes
BUILDERS,2,Bideford,62.5%,Yes
FO,2,Fowey,57.1%,Yes
JUST OUT,2,Weston Point,50.0%,Yes
EX PORT MELBOURNE,2,Port Gordon,57.1%,Yes
-R. W. [?],1,St. Andrews,28.6%,Yes
ST. DAVID'S,1,St. Ives,63.2%,Yes
FORT GLASGOW,1,Glasgow,73.7%,Yes
NEW ROSS,1,New Orleans,63.2%,Yes
"AUGUST 25, 1883.]",1,"Chatham, N. B.",32.3%,Yes
MAURICE GANDY,1,Cardigan,57.1%,Yes
N DRIVING BELT,1,Irvine,50.0%,Yes
F. W. REYNOLDS & CO. LONDON,1,London,36.4%,Yes
OUTPORTS,1,Portsoy,66.7%,Yes
LYTTLETON,1,Littlehampton,72.7%,Yes
MORRIS'S,1,Morrison's Haven,66.7%,Yes
SCILLY,1,Carril,50.0%,Yes
DEEDS OF ARRANGEMENT,1,Douarnenez,46.7%,Yes
ST. OLIVE'S WHARF,1,St. Ives,64.0%,Yes
B. & F. WHARF,1,Ware,35.3%,Yes
COMMERCIAL DOCKS,1,Surrey Commercial Docks,82.1%,Maybe
CASTLETOWN (ISLE OF MAN),1,Scilly (Isles of Scilly),54.2%,Yes
"GRANTON SAW-MILLS, GRANTON HARBOUR",1,Granton Harbour,61.2%,Yes
GRAND CANAL DOCKS,1,Crinan Canal,62.1%,Yes
ST. KATHERINE'S WHARF,1,St. Helens,51.6%,Yes
LIMEHOUSE REACH,1,Wisbeach,52.2%,Yes
ST. KATHERINE'S DOCKS,1,Sharpness Docks,66.7%,Yes
ST. GEORGE'S WHARF,1,St. Helens,50.0%,Yes
TEMPLE PIER WHARF,1,Three Rivers,48.3%,Yes
REGENT'S WHARF,1,Porthleven Harbour,50.0%,Yes
B. AND F. S. WHARF,1,St. Andrews,41.4%,Yes
WOOLWICH BUOYS,1,Richibucto,50.0%,Yes
"JUNE 29, 1889.]",1,Ljusne,38.1%,Yes
BARNARD'S WHARF,1,Alfredsham,48.0%,Yes
HERMITAGE TR,1,Kragero,52.6%,Yes
CHINNOCK WHARF,1,Crinan Canal,46.2%,Yes
SILVESTOWN,1,Charlestown,66.7%,Yes
WEST INDIA DOCKS BUOYS,1,Neath and Briton Ferry Docks,48.0%,Yes
GRAVESEND BUOYS,1,Gravesend,75.0%,Maybe
LONG REACH,1,Montreal,55.6%,Yes
JUSTICE,1,Ljusne,61.5%,Yes
TRCON,1,Troon,80.0%,Maybe
GILLESPIE,1,Lillesand,55.6%,Yes
TRUST DEEDS,1,St. Helens,57.1%,Yes
PEN,1,Penryn,66.7%,Yes
LIVERPOOL (LONDON DOCKS),1,Liverpool,54.5%,Yes
Y,1,Rye,50.0%,Yes
BROWNLEE,1,Barnstaple,55.6%,Yes
JOS. WILKINSON,1,Slingso,57.1%,Yes
"OCTOBER 3, 1891",1,Tonsberg,43.5%,Yes
"MAY 9, 1891",1,Ramsay,35.3%,Yes
PEEL (ISLE OF MAN),1,Scilly (Isles of Scilly),57.1%,Yes
"SEPTEMBER 19, 1891",1,Pembroke Dock,38.7%,Yes
BS,1,Byske,57.1%,Yes
DUN,1,Dundee,66.7%,Yes
"TAYLOR BROS., ADELAIDE WORKS, SHEFFIELD",1,Lichfield,33.3%,Yes
IMPORTS,1,Portsoy,71.4%,Yes
ARKLOW,1,Charlestown,58.8%,Yes
COUN,1,Corrunna,66.7%,Yes
RE,1,Rye,80.0%,Maybe
GOOLE DOCK,1,Goole,66.7%,Yes
&,1,,0.0%,Yes
GUERNSEY,1,Jersey,71.4%,Yes
KIDDSON DOCK,1,Glasson Dock,66.7%,Yes
LIVERPOOL (KIDDSON DOCK),1,Liverpool,54.5%,Yes
KINGTON DOCK,1,Glasson Dock,66.7%,Yes
LIVERPOOL (KINGTON DOCK),1,Liverpool,54.5%,Yes
DUNI,1,Dunkirk,72.7%,Yes
OCT,1,Rochester,50.0%,Yes
CANADA DOCKS,1,Sharpness Docks,59.3%,Yes
WINNIPEG DOCK,1,Pembroke Dock,53.8%,Yes
WATERLOO DOCK,1,Pembroke Dock,61.5%,Yes
BLOCK FLOORING,1,Rochford,45.5%,Yes
KING'S CROSS,1,Slingso,52.6%,Yes
CUSTOMS DOCK,1,Calstock,60.0%,Yes
SCOT,1,Salcombe,50.0%,Yes
TS OPEN,1,Hopeman,57.1%,Yes
EN,1,Skien,57.1%,Yes
EDMISTON &,1,Preston,58.8%,Yes
SUCCESSFUL,1,Sheerness,42.1%,Yes
CULLER,1,Colberg,61.5%,Yes
TILES,1,Trieste,66.7%,Yes
"LONDON, E.C",1,London,70.6%,Yes
AND,1,Mandal,66.7%,Yes
WEST INDIA,1,West Bay,66.7%,Yes
"VEREBSTUFF, LONDON",1,London,50.0%,Yes
AVONMOUTH,1,Avonmouth Dock,78.3%,Maybe
BLYTHAVEN,1,Blyth,71.4%,Yes
BLACKHEATH,1,Asbacka,58.8%,Yes
SEAHAM,1,Soderhamn,66.7%,Yes
"AUGUST 21, 1897",1,Bathurst,34.8%,Yes
LOWE[?],1,Looe,54.5%,Yes
ROYAL ALBE[?],1,Port Royal,43.5%,Yes
VICTORIA [?],1,Astoria,52.6%,Yes
HORNSBY DOCK,1,Sharpness Docks,66.7%,Yes
WAPPING DOCK,1,Sharpness Docks,59.3%,Yes
ELIZABETH DOCK,1,Pembroke Dock,59.3%,Yes
SANDON DOCK,1,Glasson Dock,69.6%,Yes
ROBERT KERR & SONS,1,Port Gordon,48.3%,Yes
LONDON (WELLINGTON DOCK),1,Lynn (King's Lynn),47.6%,Yes
LIVERPOOL (BROOKLYN DOCK),1,Liverpool,52.9%,Yes
NDON S.E,1,London,57.1%,Yes
W.CK,1,Wick,75.0%,Maybe
JOINERS' WORK TO ORDER,1,Invergordon,42.4%,Yes
Y DOCK,1,Tilbury Docks,63.2%,Yes
DE LYON,1,Deal,54.5%,Yes
G FEET,1,Gefle,54.5%,Yes
WYF WMF,1,Fort William,42.1%,Yes
DUBLIN (NELSON DOCK),1,Glasson Dock,56.2%,Yes
QUEEN'S DOCKS,1,Greenock,57.1%,Yes
AMERIKA,1,Fagervik,66.7%,Yes
WILLIAM WRIGHT'S DOCK,1,Glasson Dock,48.5%,Yes
SOUTH WEST INDIA DOCKS,1,Sharpness Docks,54.1%,Yes
ROYAL VICTORIA DOCK,1,Portishead dock,52.9%,Yes
LITTLETOWN,1,Littlehampton,78.3%,Maybe
LIVERPOOL (UNION DOCKS),1,Liverpool,56.2%,Yes
R. G. TICKLE & SON,1,Charlestown,41.4%,Yes
KIRKWOOD & CO,1,Kirkcaldy,45.5%,Yes
LONDON (TILE DOCKS),1,Tilbury Docks,56.2%,Yes
BRISTOL (QUEEN'S DOCK),1,Pembroke Dock,51.4%,Yes
CTION,1,Ripon,60.0%,Yes
SECTION,1,Seaton,76.9%,Maybe
LE & SON,1,Folkestone,55.6%,Yes
OD,1,London,50.0%,Yes
CREWE,1,Cowes,60.0%,Yes
ROOFING FELT,1,Figeholm,50.0%,Yes
CKS,1,Wick,57.1%,Yes
"WEB SAWS,",1,West Bay,47.1%,Yes
