issue_date,year,month,day,status,ocr_files,ocr_pages,failed_count,failed_errors,ships_parsed,unprocessed_pdfs
1891-06-20,1891,06,20,OCR_COMPLETE,5,5,0,,216,0
1891-06-27,1891,06,27,OCR_COMPLETE,4,4,0,,164,0
1891-07-04,1891,07,04,OCR_COMPLETE,6,6,0,,214,0
1891-07-11,1891,07,11,OCR_COMPLETE,4,4,0,,65,0
1891-07-18,1891,07,18,OCR_COMPLETE,3,3,0,,74,0
1891-07-25,1891,07,25,OCR_COMPLETE,2,2,0,,29,0
1891-08-01,1891,08,01,OCR_COMPLETE,6,6,0,,198,0
1891-08-08,1891,08,08,OCR_COMPLETE,1,1,0,,17,0
1891-08-15,1891,08,15,OCR_COMPLETE,5,5,0,,163,0
1891-08-22,1891,08,22,OCR_COMPLETE,2,2,0,,38,0
1891-08-29,1891,08,29,OCR_COMPLETE,6,6,0,,407,0
1891-09-05,1891,09,05,OCR_COMPLETE,5,5,0,,214,0
1891-09-12,1891,09,12,OCR_COMPLETE,4,4,0,,110,0
1891-09-19,1891,09,19,OCR_COMPLETE,5,5,0,,145,0
1891-09-26,1891,09,26,OCR_COMPLETE,4,4,0,,61,0
1891-10-03,1891,10,03,OCR_COMPLETE,5,5,0,,247,0
1891-10-10,1891,10,10,OCR_COMPLETE,4,4,0,,176,0
1891-10-17,1891,10,17,OCR_COMPLETE,3,3,0,,118,0
1891-10-24,1891,10,24,OCR_COMPLETE,3,3,0,,124,0
1891-10-31,1891,10,31,OCR_COMPLETE,4,4,0,,89,0
1891-11-07,1891,11,07,OCR_COMPLETE,5,5,0,,118,0
1891-11-14,1891,11,14,OCR_COMPLETE,3,3,0,,180,0
1891-11-21,1891,11,21,OCR_COMPLETE,4,4,0,,57,0
1891-11-28,1891,11,28,OCR_COMPLETE,4,4,0,,195,0
1891-12-05,1891,12,05,OCR_COMPLETE,3,3,0,,184,0
1891-12-12,1891,12,12,OCR_COMPLETE,4,4,0,,133,0
1891-12-19,1891,12,19,OCR_COMPLETE,3,3,0,,75,0
1891-12-26,1891,12,26,OCR_COMPLETE,3,3,0,,51,0
1892-01-02,1892,01,02,OCR_COMPLETE,4,4,0,,202,0
1892-01-09,1892,01,09,OCR_COMPLETE,3,3,0,,68,0
1892-01-16,1892,01,16,OCR_COMPLETE,2,2,0,,67,0
1892-01-23,1892,01,23,OCR_COMPLETE,3,3,0,,112,0
1892-01-30,1892,01,30,OCR_COMPLETE,3,3,0,,9,0
1893-01-07,1893,01,07,OCR_COMPLETE,2,2,0,,69,0
1893-01-14,1893,01,14,OCR_COMPLETE,3,3,0,,97,0
1893-01-21,1893,01,21,OCR_COMPLETE,2,2,0,,33,0
1893-01-28,1893,01,28,OCR_COMPLETE,2,2,0,,42,0
1893-02-04,1893,02,04,OCR_COMPLETE,2,2,0,,0,0
1893-02-11,1893,02,11,OCR_COMPLETE,2,2,0,,27,0
1893-02-18,1893,02,18,OCR_COMPLETE,1,1,0,,68,0
1893-02-25,1893,02,25,OCR_COMPLETE,3,3,0,,38,0
1893-03-04,1893,03,04,OCR_COMPLETE,2,2,0,,34,0
1893-03-11,1893,03,11,OCR_COMPLETE,2,2,0,,68,0
1893-03-18,1893,03,18,OCR_COMPLETE,3,3,0,,22,0
1893-03-25,1893,03,25,OCR_COMPLETE,3,3,0,,41,0
1893-04-01,1893,04,01,OCR_COMPLETE,2,2,0,,53,0
1893-04-08,1893,04,08,OCR_COMPLETE,2,2,0,,13,0
1893-05-06,1893,05,06,OCR_COMPLETE,3,3,0,,164,0
1893-05-13,1893,05,13,OCR_COMPLETE,1,1,0,,33,0
1893-05-15,1893,05,15,OCR_COMPLETE,3,3,0,,53,0
1893-05-20,1893,05,20,OCR_COMPLETE,4,4,0,,44,0
1893-05-27,1893,05,27,OCR_COMPLETE,4,4,0,,119,0
1893-06-03,1893,06,03,OCR_COMPLETE,3,3,0,,145,0
1893-06-10,1893,06,10,OCR_COMPLETE,3,3,0,,110,0
1893-06-17,1893,06,17,OCR_COMPLETE,4,4,0,,95,0
1893-06-24,1893,06,24,OCR_COMPLETE,4,4,0,,115,0
1893-07-01,1893,07,01,OCR_COMPLETE,4,4,0,,91,0
1893-07-08,1893,07,08,OCR_COMPLETE,5,5,0,,115,0
1893-07-15,1893,07,15,OCR_COMPLETE,5,5,0,,42,0
1893-07-22,1893,07,22,OCR_COMPLETE,4,4,0,,70,0
1893-07-29,1893,07,29,OCR_COMPLETE,4,4,0,,128,0
1893-08-05,1893,08,05,OCR_COMPLETE,5,5,0,,135,0
1893-08-12,1893,08,12,OCR_COMPLETE,5,5,0,,101,0
1893-08-19,1893,08,19,OCR_COMPLETE,5,5,0,,208,0
1893-08-26,1893,08,26,OCR_COMPLETE,5,5,0,,113,0
1893-09-02,1893,09,02,OCR_COMPLETE,4,4,0,,154,0
1893-09-09,1893,09,09,OCR_COMPLETE,5,5,0,,227,0
1893-09-16,1893,09,16,OCR_COMPLETE,3,3,0,,186,0
1893-09-23,1893,09,23,OCR_COMPLETE,5,5,0,,44,0
1893-09-30,1893,09,30,OCR_COMPLETE,4,4,0,,130,0
1893-10-07,1893,10,07,OCR_COMPLETE,4,4,0,,145,0
1893-10-11,1893,10,11,OCR_COMPLETE,2,2,0,,24,0
1893-10-14,1893,10,14,OCR_COMPLETE,2,2,0,,133,0
1893-10-21,1893,10,21,OCR_COMPLETE,5,5,0,,243,0
1893-10-28,1893,10,28,OCR_COMPLETE,4,4,0,,182,0
1893-11-04,1893,11,04,OCR_COMPLETE,5,5,0,,167,0
1893-11-11,1893,11,11,OCR_COMPLETE,4,4,0,,143,0
1893-11-18,1893,11,18,OCR_COMPLETE,4,4,0,,233,0
1893-11-25,1893,11,25,OCR_COMPLETE,5,5,0,,185,0
1893-12-02,1893,12,02,OCR_COMPLETE,4,4,0,,99,0
1893-12-09,1893,12,09,OCR_COMPLETE,2,2,0,,155,0
1893-12-16,1893,12,16,OCR_COMPLETE,3,3,0,,176,0
1893-12-23,1893,12,23,OCR_COMPLETE,2,2,0,,32,0
1893-12-30,1893,12,30,OCR_COMPLETE,2,2,0,,58,0
1895-01-05,1895,01,05,UNPROCESSED,0,0,0,,0,2
1895-01-12,1895,01,12,UNPROCESSED,0,0,0,,0,2
1895-01-19,1895,01,19,UNPROCESSED,0,0,0,,0,2
1895-01-26,1895,01,26,UNPROCESSED,0,0,0,,0,2
1895-02-02,1895,02,02,UNPROCESSED,0,0,0,,0,2
1895-02-09,1895,02,09,UNPROCESSED,0,0,0,,0,2
1895-02-16,1895,02,16,UNPROCESSED,0,0,0,,0,2
1895-02-23,1895,02,23,UNPROCESSED,0,0,0,,0,1
1895-03-07,1895,03,07,UNPROCESSED,0,0,0,,0,1
1895-03-09,1895,03,09,UNPROCESSED,0,0,0,,0,1
1895-03-16,1895,03,16,UNPROCESSED,0,0,0,,0,2
1895-03-23,1895,03,23,UNPROCESSED,0,0,0,,0,2
1895-03-30,1895,03,30,UNPROCESSED,0,0,0,,0,2
1895-04-06,1895,04,06,UNPROCESSED,0,0,0,,0,2
1895-04-13,1895,04,13,UNPROCESSED,0,0,0,,0,2
1895-04-20,1895,04,20,UNPROCESSED,0,0,0,,0,2
1895-04-27,1895,04,27,UNPROCESSED,0,0,0,,0,2
1895-05-04,1895,05,04,UNPROCESSED,0,0,0,,0,2
1895-05-11,1895,05,11,UNPROCESSED,0,0,0,,0,2
1895-05-18,1895,05,18,UNPROCESSED,0,0,0,,0,2
1895-05-25,1895,05,25,UNPROCESSED,0,0,0,,0,2
1895-06-01,1895,06,01,UNPROCESSED,0,0,0,,0,2
1895-06-08,1895,06,08,UNPROCESSED,0,0,0,,0,2
1895-06-15,1895,06,15,UNPROCESSED,0,0,0,,0,2
1895-06-22,1895,06,22,UNPROCESSED,0,0,0,,0,2
1895-06-29,1895,06,29,UNPROCESSED,0,0,0,,0,2
1895-07-06,1895,07,06,OCR_COMPLETE,4,4,0,,95,0
1895-07-13,1895,07,13,OCR_COMPLETE,4,4,0,,60,0
1895-07-20,1895,07,20,OCR_COMPLETE,4,4,0,,83,0
1895-07-27,1895,07,27,OCR_COMPLETE,4,4,0,,88,0
1895-08-03,1895,08,03,OCR_COMPLETE,4,4,0,,101,0
1895-08-10,1895,08,10,OCR_COMPLETE,4,4,0,,113,0
1895-08-17,1895,08,17,OCR_COMPLETE,5,5,0,,273,0
