commodity,year,num_ships,num_cargo_items,top_origin,top_destination
blocks and sleepers,1887,1,1,Ventspils,Boston
bls,1881,2,2,New York,London
bls,1883,1,1,Arendal,Tyne
bls,1887,1,1,Stettin,Lynn
bls,1891,2,2,Montevideo,Liverpool
bls,1893,1,1,Arendal,
board ends,1875,2,2,GÃ¤vle,Bristol
board ends,1881,2,2,Drammen,Tyne
board ends,1883,5,5,Kotka,London
board ends,1885,1,1,Kotka,London
board ends,1887,3,3,Helsingfors,London
board ends,1889,2,2,Wyborg,Liverpool
board ends,1891,5,5,Fredrikstad,London
board ends,1893,4,4,Nederkalix,Liverpool
board ends,1895,3,3,Trangsund,London
board pine,1877,1,1,Quebec,Bristol
board pine,1885,1,1,Quebec,Tyne
board pine,1889,1,1,Quebec,Boston
boards,1874,60,68,St,Liverpool
boards,1875,120,155,Gothenburg,London
boards,1877,169,189,Quebec,Dundee
boards,1878,5,6,Drammen,Bristol
boards,1879,157,157,Drammen,London
boards,1880,1,1,St. John,Liverpool
boards,1881,289,294,Fredrikstad,Liverpool
boards,1882,3,3,Sundswall,London
boards,1883,378,384,Fredrikstad,London
boards,1884,13,13,Arendal,London
boards,1885,316,320,Fredrikstad,London
boards,1886,9,9,St. John,Liverpool
boards,1887,284,286,Christiania,London
boards,1888,6,6,Fredrikstad,Bristol
boards,1889,253,257,Fredrikstad,Liverpool
boards,1890,6,6,Gothenburg,Boston
boards,1891,187,191,Gothenburg,Liverpool
boards,1892,27,27,Christiania,Liverpool
boards,1893,168,174,Fredrikstad,London
boards,1895,110,111,Gothenburg,Grimsby
boards,1896,7,7,Riga,Bristol
boards,1897,44,46,Fredrikstad,London
boards,1898,6,6,Gothenburg,Bristol
boards,1899,94,96,Montreal,London
boards and,1891,1,1,Stettin,London
boards and battens,1881,2,2,Skutskar,Grimsby
boards and battens,1883,1,1,Drammen,London
boards and battens,1885,1,1,Fredrikstad,London
boards and battens,1893,1,1,Gothenburg,Tyne
boards and battens,1895,1,1,Soderhamn,Grimsby
boards and battens,1896,1,1,Riga,Grimsby
boards and battens,1897,1,1,St. John,Tyne
boards and battens,1899,6,6,Fredrikstad,Poole
boards and battens and horn boards,1893,1,1,Bergen,Liverpool
boards and deals,1881,1,1,Laurvig,London
boards and deals,1883,1,1,Drammen,Bristol
boards and deals,1891,1,1,Soderhamn,London
boards and deals,1895,1,1,Christiania,Bristol
boards and ends,1885,1,1,Riga,Grimsby
boards and ends,1887,1,1,Stockholm,Grimsby
boards and ends,1893,1,1,Alne,Grimsby
boards and ends,1895,6,6,Drammen,Bristol
boards and ends,1899,1,1,Fredrikstad,Berwick
boards and laths,1899,1,1,Fredrikstad,
boards and lings,1883,1,1,Drammen,Liverpool
boards and mouldings,1893,1,1,Fredrikstad,Poole
boards and scantlings,1895,1,1,Arkhangelsk,Grimsby
boards and staves,1899,1,1,Fredrikstad,London
boards cantlings,1899,1,1,Fredrikstad,ND
boards for cask,1891,1,1,GÃ¤vle,Liverpool
boards hansen,1891,1,1,Hudikswall,London
boards teak,1897,1,1,Rangoon,
boardwood,1881,1,1,Quebec,Greenock
boat,1875,1,2,Halden,London
boat,1881,2,2,Riga,Newry
boat,1885,3,3,St. Petersburg,London
boat,1887,1,1,Christiania,London
boat,1889,2,2,Newport News,Liverpool
boat,1891,2,2,Christiania,London
boat,1893,2,2,Christiania,Fleetwood
boat,1897,3,3,Christiania,Liverpool (Coburg Dock)
boat,1899,2,2,Christiania,BULL DOCK
boat oars,1888,1,1,Boston,Dundee
boat oars,1893,1,1,Norfolk,Liverpool
boat-hook handles,1875,1,1,Fredrikstad,Greenock
boat-hooks,1875,1,1,Christiania,Greenock
boathook,1874,1,1,Sundswall,Bristol
boathook,1883,1,1,Christiania,Wick
boathook,1887,1,1,Christiania,Dundee
boathook,1889,2,2,Christiania,Borrowstounness
boathook,1897,1,1,Christiania,Dundee
boathook handles,1883,1,1,Christiania,Dundee
boathook handles,1887,1,1,Christiania,Dundee
boathooks,1875,1,1,Kronstadt,
boathooks,1881,1,1,Christiania,Grimsby
boathooks,1883,1,1,Christiania,Poole
boathooks,1885,3,3,Christiania,Grimsby
boathooks,1887,2,2,Christiania,Liverpool
boathooks,1889,11,11,St. Petersburg,London
boathooks,1891,2,2,Christiania,London
boathooks,1893,1,1,Christiania,London
boats,1875,1,1,Gothenburg,CURRENT PRICES
boatus,1891,1,1,Gothenburg,Poole
bobbins,1874,1,1,Hobart Town,London
bobbins,1883,1,1,Helsingfors,Inverness
bobbins,1885,14,14,Boston,Liverpool
bobbins,1886,2,2,Boston,Liverpool
bobbins,1887,10,11,Gothenburg,Grimsby
bobbins,1889,7,7,Gothenburg,Liverpool
bobbins,1890,1,1,Hango,Boston
bobbins,1891,2,2,Copenhagen,Grimsby
bobbins,1895,3,3,Hango,Grimsby
bobbins,1896,2,2,Hango,Hull (Queen's Dock)
bobbins,1897,4,4,Gothenburg,Hull (Queen's Dock)
bois de nassau,1893,1,1,Calicut,London (Tilbury Docks)
books,1889,1,1,St. Petersburg,Grimsby
