source_file,line_number,extracted_ship,char_count,size_category,format_type,at_symbols,emdashes,hyphens,semicolons,periods,estimated_total_ships,estimated_missed_ships,raw_line_preview
18810827p.143_p003.txt,4,Bele,428,LOW,OTHER,0,12,0,9,27,1,0,"22 Bele (s)—Gothenburg—14,640 boards—Witt & Webster, & Co. ; 100 doz. battens—Simson & Mason ; 416 bdls. mouldings—O. Eklund ; 399 pkgs. doors, &c.—Prier Wotton & Co. ; 3,000 bdls. laths—O. Eklund ; 7..."
18810827p.143_p003.txt,4,doz.,367,LOW,OTHER,0,9,0,8,26,1,0,"100 doz. battens—Simson & Mason ; 416 bdls. mouldings—O. Eklund ; 399 pkgs. doors, &c.—Prier Wotton & Co. ; 3,000 bdls. laths—O. Eklund ; 799 doors, &c. —J. Sandell & Co. ; 10 fms. firewood, 11 doz. d..."
18810827p.143_p003.txt,4,pkgs.,301,LOW,OTHER,0,7,0,6,23,1,0,"399 pkgs. doors, &c.—Prier Wotton & Co. ; 3,000 bdls. laths—O. Eklund ; 799 doors, &c. —J. Sandell & Co. ; 10 fms. firewood, 11 doz. deals—G. E. Arnold & Co. ; 277 doz. flooring—J. M. Ross & Co. ; 114..."
18810910p.178_p002.txt,68,Bele,350,LOW,HYPHEN_SEMICOLON,0,0,9,6,23,1,0,"Bele (s)-Gothenburg-232 doz. battens, 95 bdls. laths-O. Eklund & Co. ; 18 doz. deals, 27 doz. battens-G. E. Arnold & Co. ; 23 bdls. mouldings, 517 doz. battens-Prier, Wotton & Co. ; 15 fms. firewood-F..."
18811001p.234_p002.txt,131,Cameo,303,LOW,HYPHEN_SEMICOLON,0,0,9,6,8,1,0,"26 Cameo (s)-Christiania-10 cs. laths-Trinder, Anderson, & Co. ; 1,020 bdls. staves-J. H. Douglas & Co. ; 5,022 boards-Simson & Mason ; 10,212 boards-T. Anderson ; 19,775 boards, 3,195 scantlings, 8,3..."
18811015p.264_p002.txt,70,Bjorn,338,LOW,HYPHEN_SEMICOLON,0,0,8,6,22,1,0,"Bjorn (s)-Gothenburg-7,864 boards, 323 bdls. mouldings, 15 fms. firewood-With, Webster, & Co. ; 110,574 doz. boards-W. R. Crow & Co. ; 507 doz. boards, Prier & Co. ; 133 doz. deals, 326 doz. battens-G..."
18811015p.264_p003.txt,102,WI deals.,914,MEDIUM,OTHER,0,1,0,13,39,1,0,"WI deals. N.B.—Sept. 23rd, Pandora, Miramichi, 415,831 ft. deals, 10,951 ft. ends; 24th, Thorgny, Cardiff, 256,000 ft. scantlings, 13,000 ft. ends; London, 472,010 ft. deals, 16,425 ft. palings; 28th,..."
18811029p.295_p001.txt,37,A good number of,656,MEDIUM,UNKNOWN,0,0,1,1,4,1,0,"A good number of timber-laden vessels have arrived here during the past week, the importation of deals and battens from various Baltic ports amounting to 86,949 pieces, besides some large parcels of s..."
18811105p.310_p002.txt,23,City of Perth,353,LOW,HYPHEN_SEMICOLON,0,0,8,5,15,1,0,"City of Perth-New York-816 bdls. headings, 2,397 bdls. staves-N. Tate & Son; 340 bdls. walnut and whitewood, 3 bxs. 521 bdls. lumber, 490 bdls. 919 boards, 185 planks-H. Herrmann; 1,148 no. 77 bdls. d..."
18811105p.310_p002.txt,112,Bele,322,LOW,HYPHEN_SEMICOLON,0,0,9,6,18,1,0,"Bele (s)-Gothenburg-679 bds. mouldings-T. Edling & Co.; 443 bds. mouldings-Esdaile & Co.; 905 bds. mouldings-W. R. Crow & Co.; 114 bds. mouldings-Prier Wotton & Co.; 1,306 pkgs. doors-J. Sandell; 215 ..."
18811119p.342_p001.txt,183,Bele,319,LOW,OTHER,0,9,0,6,18,1,0,Bele (s)—Gothenburg—12 bdls. laths—O. Eklund ; 525 pkgs. doors and mouldings—J. Sandell & Co. ; 330 doors—T. Edling & Co. ; 389 doz. boards and battens—A. Merton & Co. ; 459 doz. deals—F. Brieseman & ...
18811119p.342_p002.txt,164,Forganhall,311,LOW,UNKNOWN,0,0,4,1,14,1,0,"Nov. 9 Forganhall-Quebec-15 pcs. oak, 29 pcs. elm, 51 pcs. ash, 355 pcs. red pine, 564 pcs. square white pine, 33 pcs. waney white pine, 1,223 pcs. deals, 524 deal ends, 790 pine deals, 460 spruce dea..."
18811126p.359_p001.txt,47,Besides these we have the honey,329,LOW,OTHER,0,1,0,0,1,1,0,"Besides these we have the honey locust, mulberry, hawthorn, dogwood, sassafras, cottonwood, birch, maple, and other varieties of useful woods—enough to confirm my assertion that as a timber country Ge..."
18811203p.374_p001.txt,98,Be'e,320,LOW,HYPHEN_SEMICOLON,0,0,10,7,17,1,0,"27 Be'e (s)-Gothenburg-2,000 bdls. laths-O. Eklund & Co.; 342 doz. battens-Gabriel & Son; 310 doz. battens-E. Tyer; 393 doz. battens-Atherton & Co.; 576 bdls. mouldings-Prier Wotton & Co.; 1,193 pkgs...."
18830113p.29_p001.txt,23,Additions and,388,LOW,OTHER,0,1,0,0,8,1,0,"Additions and Alterations.—Tenders are invited by the committee of the Royal Northern Sea Bathing Infirmary, Scarborough, for various additions and alterations in the present building. The plans can b..."
18830113p.29_p002.txt,32,Registrar Brougham. W. H.,751,MEDIUM,OTHER,0,1,0,1,26,1,0,"Mr. Registrar Brougham. W. H. BRASIER.—The debtor, William Henry Brasier, of Hastings and Plaistow, builder and licensed victualler, had filed a petition for liquidation, and furnished accounts showin..."
18830127p.73_p001.txt,39,While the decreases,548,MEDIUM,OTHER,0,1,0,6,3,1,0,"While the decreases are—In excise revenue stamps, £110,828; land tax, £5,000; interest on advances, £4,681; and miscellaneous, £178,003. For the nine months just completed the total receipts are in ex..."
18830127p.73_p001.txt,145,Dulton Simson & Mason Edward,326,LOW,HYPHEN_SEMICOLON,0,0,8,5,12,1,0,"Dulton Simson & Mason Edward (s)-Gothenburg-721 pkgs. mouldings and joinery-W. R. Crow & Son; 66 bdls. mouldings, 700 doors-Sandell & Co.; 369 doors-Prior Wotton & Co.; 383 doors-T. Gabriel & Sons; 68..."
18830203p.91.txt,2,Chadeleigh,342,LOW,OTHER,0,1,2,0,10,1,0,"Chadeleigh-Bickleigh. Goods sheds at Thorverton and Chadeleigh-Bickleigh. Six cottages—four at the stations named above, and two at Fortescue and Silverton level crossings. The drawings may be seen at..."
18830210p.108_p001.txt,60,Prins Oscar,311,LOW,HYPHEN_SEMICOLON,0,0,8,5,11,1,0,"Prins Oscar (s)-Gothenburg-331 bdls. mouldings-Ketscher; 2,000 bdls. laths-Eklund; 307 bdls. mouldings, 4 bdls. trellis, 80 doors-Sandell; 5,334 boards-With, Webster, & Co.; 571 bdls. boards, 95 bdls...."
18830210p.108_p002.txt,49,assets not yet ascertained. Upon the application of Mr. T. L.,778,MEDIUM,OTHER,0,1,0,0,15,1,0,"assets not yet ascertained. Upon the application of Mr. T. L. Wilkinson, supported by creditors, the Registrar appointed Mr. Dever, accountant, to be receiver and manager under the proceedings. SPENCE..."
18830317p.193_p003.txt,156,Honour ordered the resolutions to be registered. H.,402,LOW,OTHER,0,1,0,1,11,1,0,"Honour ordered the resolutions to be registered. H. CLACK.—The bankrupt, described as of Queen's Park, Harrow Road, builder, was adjudicated in March, 1878, his debts being at £2,134; and Mr. H. Reed,..."
18830331p.223_p002.txt,16,Durham,334,LOW,HYPHEN_SEMICOLON,0,0,7,4,14,1,0,"Durham (s)-New York-560 bdls. hoops-Tate & Co. ; 558 oars-Cunningham, Shaw, & Co. ; 19 oak flitches-Herrmann ; 503 bdls. mouldings, 3,342 doors, 18 pkgs. wood-Holland, McConnell, & Co. ; 1,326 oars, 3..."
18830331p.223_p003.txt,171,Of the gross,336,LOW,OTHER,0,1,0,0,3,1,0,"Of the gross total—6 were with cargoes of timber, but only suffered the loss of three hands between them, and three others, three vessels all the crew, and three others 29 men together. The whole numb..."
18830414p.266_p002.txt,187,Among a list of,410,LOW,UNKNOWN,0,0,1,0,3,1,0,"Among a list of fifty-six vessels reported under ""casualties"" at Lloyd's during the seven days, ending April 4th, not one ship was reported with timber cargo. There were five ships which lost all hand..."
18830428p.300_p001.txt,144,Grecian Monarch,348,LOW,UNKNOWN,0,0,6,3,8,1,0,"Grecian Monarch (s)-New York-8 bxs., 1,441 pcs. walnut lumber, 725 walnut squares, 164 ash squares-Herrmann ; 30 bdls., 21,950 squares, 195 logs black walnut, 200 logs cedar-Churchill & Sim ; 943 bdls..."
18830428p.300_p003.txt,169,Arthur Martin the same have since been registered by order of Mr. Registrar Penn.  PARKMAN &,381,LOW,OTHER,0,1,0,0,6,1,0,"Mr. Arthur Martin the same have since been registered by order of Mr. Registrar Penn.  PARKMAN & HUTCHINSON.—This case was reported last week, and the bankrupts, who are importers of railway sleepers ..."
18830512p.334_p001.txt,161,Monarch,418,LOW,UNKNOWN,0,0,5,1,7,1,0,"Monarch (s)-New York-212 walnut squares-Churchill ; 405 walnut stops, 745 planks, 265 squares, 17,390 walnut squares, 30 bdls., 2,715 doors, 225 bdls. mouldings, 240 logs black walnut, 15 logs rosewoo..."
18830610p.417_p001.txt,23,Villas.,504,MEDIUM,OTHER,0,2,0,0,12,1,0,"Villas.—Persons desirous of tendering for the erection of two villas at Nunthorpe are requested to apply immediately at office of Mr. W. H. Blessley, Exchange Place, Middlesbrough. Warehouse, &c.—The ..."
18830623p.435_p002.txt,7,Lydian Monarch,312,LOW,UNKNOWN,0,0,5,2,8,1,0,"Lydian Monarch (s)-New York-17 logs walnut-Churchill; 2,602 bdls. hoops, 4,118 staves-Tate & Sons; 3,734 pcs., 44 walnut squares, 69 bdls. ash lumber, 733 bdls. whitewood lumber, 38 bxs., 956 bdls. wa..."
18830707p.15_p004.txt,49,Circassia,312,LOW,UNKNOWN,0,0,5,2,13,1,0,"Circassia (s)-New York-612 bdls. shooks-Charles Tennant & Co.; 1,221 pcs. oak scantling, 100 prs. oars-J. Kennedy & Co.; 3,696 pcs. whitewood lumber, 552 pcs. walnut lumber, 425 pcs. walnut plank, 939..."
18830707p.15_p005.txt,152,His Honour made the appointment and granted an injunction. MELTZER &,709,MEDIUM,OTHER,0,1,0,0,18,1,0,"His Honour made the appointment and granted an injunction. MELTZER & ELSTER. — The debtors, who have filed a petition for liquidation, are described as of 34, Great St. Helen's, commission agents and ..."
18830707p.15_p005.txt,154,Wednesday next. W.,650,MEDIUM,OTHER,0,1,3,0,5,1,0,"Wednesday next. W. HAMPTON.—A second general meeting of the creditors of William Hampton, builder and contractor, of the Steam Saw and Joinery Works, Hoddesdon, Herts, is announced to be held at the o..."
18830714p.33_p005.txt,78,R. STEELE & Co.,418,LOW,OTHER,0,1,1,0,7,1,0,"R. STEELE & Co.—The well-known firm of Robert Steele & Co., shipbuilders and engineers, Greenock, issued a circular on Monday morning last, convening a meeting of their creditors. The unsecured liabil..."
18830721p.52_p004.txt,114,F. C. Willis the bankrupts were allowed to pass their examination. WILLIAM,345,LOW,OTHER,0,2,0,1,5,1,0,"Mr. F. C. Willis the bankrupts were allowed to pass their examination. WILLIAM GIBBS.—This case was noticed last week, the debtor, carrying on the business of a builder in Hamilton Road, Lower Norwood..."
18830811p.106_p004.txt,108,Registrar Pepys made the order.,433,LOW,OTHER,0,1,0,0,8,1,0,"Mr. Registrar Pepys made the order.  BABER.—The debtor, a builder and plumber, of 27, Kensington Park Road, had filed a petition for liquidation, and Mr. Rubinstein applied to the Court last week for ..."
18830818p.129_p002.txt,72,Bele,347,LOW,HYPHEN_SEMICOLON,0,0,11,8,20,1,0,"Bele (s)-Gothenburg - 3,000 bdls. laths-R. May & Son; 267 bdls. mouldings-Knudsen, Arter, & Co.; 337 bdls. mouldings - W. Webster & Co.; 429 bdls. mouldings, 259 doors-C. B. Ketscher; 5 bdls. moulding..."
18830818p.129_p004.txt,6,MISSING_FROM_OCR,439,LOW,UNKNOWN,0,0,4,2,16,1,0,"Quebec-238 pcs. oak, 10 pcs. elm, 156 pcs. birch, 2 pcs. maple, 1 pc. butternut, 250 pcs. red pine, 45 pcs. ash, 268 pcs. white pine, 1,968 pine deals, 1,041 deal ends, 1,185 pcs. pine deals, 4,706 sp..."
18830915p.200_p002.txt,21,Bjorn,358,LOW,HYPHEN_SEMICOLON,0,0,10,7,13,1,0,"8 Bjorn (s)-Gothenburg-2,000 bdls. laths-Simson & Mason ; 420 bdls. mouldings, 1,025 bdls. laths-Gridley ; 270 bdls. mouldings-Eklund ; 51 bdls. mouldings, 250 bdls., 250 doors-Crowe & Son ; 8,604 boa..."
18830915p.200_p003.txt,114,Amaranthus,342,LOW,UNKNOWN,0,0,6,3,12,1,0,"Sept. 6 Amaranthus-Quebec-24 pcs. oak, 2 pcs. elm, 26 pcs. maple, 41 pcs. walnut, 66 pcs. redpine, 105 pcs. square white pine, 2,647 pcs. white pine, 2,647 pine deals, 779 pcs. spruce deal ends, 6,338..."
18830922p.217_p004.txt,102,Registrar Hazlitt allowed the resolution to be registered. ROBERT,1066,HIGH,OTHER,0,1,0,3,24,1,0,"Mr. Registrar Hazlitt allowed the resolution to be registered. ROBERT HUNT.—The debtor was described as of 16, Gloucester Road, South Kensington, Lott's Road, Chelsea, and of Chiswick, Hormton Street,..."
18831006p.254_p001.txt,202,Bele,302,LOW,HYPHEN_SEMICOLON,0,0,9,6,11,1,0,"Bele (s)-Gothenburg-273 bdls. boards, 100 doors, 100 dwarf doors-Crow & Son ; 2,000 doors, 12 bdls. mouldings-Gribble & Co. ; 15,144 boards-With, Webster, & Co. ; 1,000 doz. deals-Prier Wotton & Co. ;..."
18831006p.254_p003.txt,118,A close study of the matter,634,MEDIUM,OTHER,0,2,0,1,3,1,0,"A close study of the matter—an inquiry into the admirable methods adopted on the Continent, in France, in Belgium, and in Germany—would form an interesting subject of inquiry either for some Governmen..."
18831006p.254_p004.txt,31,A close study of the matter,601,MEDIUM,OTHER,0,2,0,1,4,1,0,"A close study of the matter—an inquiry into the admirable methods adopted on the Continent, in France, in Belgium, and in Germany—would form an interesting subject of inquiry for some Government commi..."
18831006p.254_p004.txt,39,His Honour made the desired appointment.  T. E. & H.,1783,HIGH,OTHER,0,2,0,9,45,1,0,"His Honour made the desired appointment.  T. E. & H. JULIAN.—This case came before Mr. Registrar Brougham on Saturday. The debtors, trading as builders in Marshall Street, St. George's Road, Southwark..."
18831013p.275_p003.txt,179,Epps's COCOA.,856,MEDIUM,OTHER,0,5,1,0,11,1,0,"Epps's COCOA.—GRATEFUL AND COMFORTING.—""By a thorough knowledge of the natural laws which govern the operations of digestion and nutrition, and by a careful application of the fine properties of well-..."
18831027p.311_p003.txt,96,Stroma,389,LOW,HYPHEN_SEMICOLON,0,0,11,8,17,1,0,"Stroma (s) - Gothenburg, Christinia, and Drammen - 272 deals and battens - W. Nicholson & Co.; 158 bdls. wood pulp-H. Richmond; 24 pkgs. wood pulp-G. Schenkenwald; 210 bales wood pulp-Monteith, Carlso..."
18831117p.365_p002.txt,93,New,325,LOW,UNKNOWN,0,0,4,2,8,1,0,"New York-716 pcs., 675 boards whitewood, 196 bdls. white lumber, 207 pcs. ash and walnut stumps, 27 planks, 63 bdls. walnut, 21 strips walnut and ash, 24 squares ash-Herrmann; 272 oars-Cunningham, Sha..."
18831117p.365_p004.txt,97,East,389,LOW,OTHER,0,1,0,0,8,1,0,"East Dulwich. —The adjudication in this case was made in June, 1880, and the trustee (Mr. P. A. Boulton) applied to the Court, last week, for an order closing the bankruptcy. The debts were £400, and ..."
18831124p.382_p004.txt,3,Princess Alexandra,346,LOW,OTHER,0,4,0,2,13,1,0,"Princess Alexandra—Quebec—84 logs ash, 877 logs square white pine, 26 pcs. w.w. pine, 1,075 pine deals, 1 log cherry, 6 logs walnut, 13 logs beech, 1 log butternut, 3 logs basswood, 74 ton; 1,000 red ..."
18831201p.406_p001.txt,124,Bjorn,304,LOW,HYPHEN_SEMICOLON,0,0,9,6,14,1,0,"Bjorn (s)-Konigsberg-135 doz. battens-Hansen, Arter, & Co. ; 170 doz. battens-Petersen & Co. ; 41 doz. deals-Petersen & Co. ; 12,220, boards-With, Webster & Co. ; 219 doz. deals, 173 doz. battens, 154..."
18831201p.406_p002.txt,54,Octavia,310,LOW,UNKNOWN,0,0,9,1,12,1,0,"Octavia-Quebec-141 pcs. oak, 100 pcs. elm, 718 pcs. white pine, 2,273 white pine deals, 2,544 white pine deal ends-Farley & Co.; G. M. Cairns-Quebec-248 pcs. oak, 10 pcs. red pine, 48 pcs. elm, 941 pc..."
18831201p.406_p002.txt,104,Perseverance,440,LOW,HYPHEN_SEMICOLON,0,0,8,5,9,1,0,"Perseverance-Quebec-3,758 pine deals-Edmiston & Mitchells; 14 pcs. hickory-Singleton, Dunn, & Co.; 284 red pine deals-M. Carswell & Co.; 397 bdls. sawn ash deals-Bryce, Junor, & White; 21,508 pcs. spo..."
18831208p.425_p001.txt,109,Hermod,302,LOW,HYPHEN_SEMICOLON,0,0,13,7,12,1,0,"Hermod (s)-Gothenburg-3,000 bdls. laths-Order ; 2,000 bdls. laths-H. Sheraton & Co. ; 2,000 bdls. laths-London and North-Western Railway Co. ; 1,500 bdls. laths-J. Griggs & Co ; 7,460 pit-props-A. Rei..."
18831208p.425_p001.txt,141,Bele,383,LOW,HYPHEN_SEMICOLON,0,0,12,9,20,1,0,"Bele (s)-Gothenburg - 341 doz. battens-Knudsen & Co. ; 5 bdls. boards-Vivian ; 568 pkgs. mouldings, 950 doors-C. B. Ketscher ; 833 pkgs. mouldings, 150 doors-P. Wotton & Co. ; 210 pkgs. mouldings-Grid..."
18831208p.425_p002.txt,76,Stroma,336,LOW,HYPHEN_SEMICOLON,0,0,11,7,18,1,0,"Nov. 28 Stroma (s)-Gothenburg-136 pkgs. wood pulp-Brown, Stewart, & Co.; 10 pkgs. wood pulp-Monteith & Co.; 19 pkgs. wood pulp-G. F. Green & Co.; 41 pkgs. wood pulp-L. Tiden; 219 deals and 448 bdls. m..."
18831208p.425_p003.txt,76,It was agreed that the meetings of the committee should be held alternately at Gloucester and Oxford.  B.,314,LOW,OTHER,0,1,0,0,4,1,0,It was agreed that the meetings of the committee should be held alternately at Gloucester and Oxford.  B. POWELL.—A petition was filed in the Sheffield County Court on Wednesday last by Benjamin Powel...
18831222p.463_p003.txt,12,Rutland,311,LOW,UNKNOWN,0,0,4,1,9,1,0,"13 Rutland-Quebec-107 pcs. oak, 41 pcs. elm, 93 pcs. ash, 372 pcs. red pine, 408 pcs. square white pine, 42 pcs. waney white pine, 56 pcs. birch, 1,024 spruce deals, 1,400 pine deals, 1,251 pine deals..."
18831229p.476_p002.txt,27,Albert Edward,302,LOW,HYPHEN_SEMICOLON,0,0,11,8,11,1,0,"Albert Edward (s) - Gothenburg - 282 doz. boards-Howard; 6,439 boards-With, Webster; 6,275 boards-Berner & Co.; 100 doz. deals-Prier Wotton; 344 bdls. mouldings-Knudsen & Co.; 797 bdls. mouldings-Kets..."
18831229p.476_p002.txt,69,Stroma,318,LOW,HYPHEN_SEMICOLON,0,0,13,8,19,1,0,"Stroma (s)-Gothenburg-20,000 pcs. staves-Grischotti, Fleming, & Co.; 60 bls. wood pulp-G. T. Green & Co.; 70 bls. wood pulp-J. A. Reid; 46 bls. wood pulp-L. Tiden; 2,140 bdls. staves-A. Watson; 156 bd..."
18831229p.476_p002.txt,79,Gibson Craig,318,LOW,UNKNOWN,0,0,4,1,12,1,0,"Dec. 20 Gibson Craig-Quebec-165 pcs. square white pine-Robinson, Dunn, & Co.; 96 pcs. square white pine, 7 pcs. elm, 3 pcs. cherry, 8 pcs. maple, 9 pcs. basswood, 4 pcs. whitewood, 4 pcs. red pine' 45..."
18840105p.14_p002.txt,143,Cedar.,592,MEDIUM,OTHER,0,3,0,0,10,1,0,"Cedar.—The stock of Honduras is light, but prices rule low. Mexican has been in moderate request. Pencil cedar has not been inquired for. Walnut.—Italian: Logs have been dull of sale, and the old stoc..."
18840105p.14_p002.txt,145,Either party to a patent suit may require the court to be aided by a technical assessor. A patentee may be compelled by the Board of Trade to grant a,1407,HIGH,OTHER,0,3,0,11,13,1,0,Either party to a patent suit may require the court to be aided by a technical assessor. A patentee may be compelled by the Board of Trade to grant a licence—(a) if the patent is not being worked; (b)...
18860102p8-9_p001.txt,93,Spark,315,LOW,HYPHEN_SEMICOLON,0,0,9,6,10,1,0,"Spark (s)-Fredrikstad-16,828 boards, 858 laths, 10,660 battens-R. H. Dahl & Co. ; 41,688 boards-With, Webster, & Co. ; 5,179 boards-Messer & Co. ; 5,032 boards-C. J. Wade & Co. ; 5,321 boards - Raffet..."
18880107p16-17_p002.txt,74,mill proprietor and timber,604,MEDIUM,OTHER,0,1,0,0,8,1,0,"mill proprietor and timber merchant, Hounslow.—A receiving order has been made in the Brentford County Court against the estate of Albert Edward Addis, of the Inverness Joinery Works, Staines Road, Ho..."
18880114p40-41_p001.txt,90,Triton,331,LOW,OTHER,0,1,9,7,14,1,0,"9 Triton (s)—Gothenburg-18,762 props-G. Pyman & Co. ; 1,000 props-W. J. Watson & Co. ; 10,000 props-G. Horsley & Co. ; 11,000 sleepers, 1,000 sleepers, 11,000 sleepers-T. Barraclough & Co. ; 3,500 sle..."
18880114p40-41_p002.txt,9,Baltimore,318,LOW,HYPHEN_SEMICOLON,0,0,7,4,11,1,0,"Jan. 2 Baltimore (s)-Baltimore-469 oak planks-Farnworth & Jardine; 42 poplar logs, 18 pcs. oak lumber-R. Coltart & Co.; 19 pcs. oak lumber, 2 bdls. and 814 oak boards, 35 bdls. handles, 18 oak laths, ..."
18880114p40-41_p002.txt,117,King's,586,MEDIUM,OTHER,0,1,0,0,10,1,0,"King's Lynn.—The receiving order in this case was made on Nov. 1st, and according to the accounts now filed by the debtor show gross liabilities £15,865 12s. 1d., expected to rank £7,227 9s. 1d., leav..."
18880114p40-41_p002.txt,120,case,957,MEDIUM,OTHER,0,1,0,0,11,1,0,"case maker, of Battersea and Wandsworth Bridge Road.—The debtor has attended to pass his public examination before the Registrar at the Wandsworth Court. His statement of affairs has already been publ..."
18890105p.17_p001.txt,7,Tenoning,584,MEDIUM,OTHER,0,2,0,1,8,1,0,"Tenoning Machine. — Messrs. John Pickles & Son, Royd Iron Works, Hebden Bridge, via Manchester, write as follows in answer to “A. B. C.” :—“We are the makers of a good tenoning machine, of which we sh..."
18890105p.17_p002.txt,59,Minnesota,314,LOW,HYPHEN_SEMICOLON,0,0,7,4,13,1,0,"Dec. 31 Minnesota (s)-Baltimore-25 elm logs-Churchill & Sim ; 18 poplar logs-Simson & Mason ; 76 bdls. poplar, 23 bdls. oak-W. Mallinson ; 375 bdls. oak, 4 crts., 204 pcs. poplar-Stead & Peaty ; 1,800..."
18890112p.34.txt,104,Hele,374,LOW,HYPHEN_SEMICOLON,0,0,9,6,24,1,0,"Hele (s)-Gothenburg-80 bdls. doors, 73 cs. sashes, 100 bdls. trellis, 292 cs. mouldings-Hunt, Lauthers, & Co. ; 459 doors, 21 bdls. trellis, 17 bdls. mouldings-J. Sandell & Co. ; 15 bgs. wood-Maxime &..."
18890119p.48_p001.txt,92,Bifrost,419,LOW,HYPHEN_SEMICOLON,0,0,10,7,22,1,0,"Bifrost (s)-Gothenburg-1,000 bdls. laths-G. Bradley & Co.; 500 bdls. laths-Bahr, Behrend, & Ross; 1,000 bdls. laths-T. W. Allen; 2,000 bdls. laths-H. Brown & Sons; 1,500 bdls. laths-J. Griggs & Co.; 4..."
18890126p.65_p001.txt,106,Born,302,LOW,HYPHEN_SEMICOLON,0,0,9,6,17,1,0,"Born (s)-Gothenburg-1,255 bdls. blocks, 30,530 boards-With, Webster, & Co. ; 879 pkgs. joinery, 515 bdls. boards-W. R. Crow & Sons ; 550 doors-J. Sandell & Co. ; 66 pkgs. turned wood-J. W. Uloth & Co...."
18890126p.65_p002.txt,47,Last week several accidents occurred at Mr. Statham's saw,603,MEDIUM,UNKNOWN,0,0,2,0,13,1,0,"Last week several accidents occurred at Mr. Statham's saw-mills, Robin Hood. Mr. Warmby, who has lately left the mills, was walking on the premises, when he accidentally fell into a hot-water tank lik..."
18890302p.260.txt,189,Beds of a Roller Feed Planing,779,MEDIUM,OTHER,0,1,0,2,7,1,0,"Beds of a Roller Feed Planing Machine.—In reply to “J. & B.,” from his description we should say the man you bought the machine of did not understand his business. The driving power in many machines o..."
18890302p.260.txt,191,Yellow,686,MEDIUM,OTHER,0,1,1,0,12,1,0,"Yellow Poplar.—In answer to “A. B. C.,” the yellow poplar, known also as the tulip tree or white wood (Siriodendron tulipifera), is found in some parts of Canada and America, but is by no means common..."
18890302p.260.txt,193,Mixture for Case,581,MEDIUM,OTHER,0,1,5,0,11,1,0,"Mixture for Case-hardening Nuts, &c. —In reply to “P. H. B.,” numerous things are used for the above. We can recommend, however, as a first-rate one hydro-carbonated bone black, as it will produce a g..."
18890302p.260.txt,195,Tenoning,567,MEDIUM,OTHER,0,1,0,0,9,1,0,"Tenoning Machine.—In reply to “A.B.C.,” we are not aware that any English machine is constructed with the in and out driving belt running on pulleys placed in the centre of the machine between the cut..."
18890316p.308_p001.txt,13,rate,529,MEDIUM,OTHER,0,1,0,0,8,1,0,"rate maps, and as a history of a wonderful country, apart from its value as a guide to the investor, is full of interesting and entertaining matter. We congratulate Mr. E. P. Mathers, F.R.G.S., who is..."
18890406p.362_p001.txt,206,C. S. Ross &,386,LOW,OTHER,0,1,0,0,6,1,0,"C. S. Ross & Co.—During the past four weeks there have been very few important sales. The offerings have been light, and until within the last week very little business has been done. The imports this..."
18890413p.382_p001.txt,128,Lake Superior,321,LOW,HYPHEN_SEMICOLON,0,0,10,7,19,1,0,"Lake Superior (s)-New York-47 cs., 250 bdls. handles-A. Field & Co.; 4 pkgs., 11 cs.-Welsh & Lea; 28 cs. handles-J. A. & E. Jenkins; 505 pcs., 46 bdls. lumber-A. Dobell & Co.; 3,335 bdls. lumber-Watso..."
18890504p.440_p003.txt,56,Exeter.,1814,HIGH,OTHER,0,2,0,0,18,1,0,"Exeter.—This debtor appeared at the Exeter Bankruptcy Court on Friday week, before the Registrar, for his examination. The Official Receiver said, with reference to the building operations into which ..."
18890511p.464_p002.txt,6,Nessmore,373,LOW,HYPHEN_SEMICOLON,0,0,10,7,16,1,0,"Nessmore (s)-Baltimore-42 poplar logs-J. H. Burrell & Co. ; 37 poplar logs, 30 cs. spokes -Farnworth & Jardine ; 15 poplar logs-Govan & Co. ; 445 pcs., 22 logs oak-R. Coltart & Co. ; 378 pcs. oak-Chur..."
18890511p.464_p002.txt,48,Duke of Westminster,313,LOW,HYPHEN_SEMICOLON,0,0,8,5,17,1,0,"Duke of Westminster (s)-New York-200 pcs. lumber-G. Neighbour & Sons ; 106 pcs. lumber-C. Gold & Co. ; 1,234 pcs. lumber-J. H. Leash & Co. ; 275 brls. bungs -H. Stopes & Co. ; 8,368 pcs., 2 cars board..."
18890518p.4_p001.txt,45,Saw,462,LOW,OTHER,0,1,2,0,9,1,0,"Saw-mills are busy, and present prospects indicate a continuance of briskness.  SALE OF GROWING WOOD.—The standing wood on St. Arnold's Hill, Glen Ogil, Kirriemuir, the property of Mr Stephen Williams..."
18890518p.4_p001.txt,118,Lord O'Neill,340,LOW,HYPHEN_SEMICOLON,0,0,12,6,11,1,0,"9 Lord O'Neill-Baltimore-1,240 logs-Hattley Hay; 1,240 logs-Edmiston & Mitchell; 562 pcs. oak lumber-Jas. Kennedy & Co.; 2,100 pcs. whitewood planks, 2,100 pcs. whitewood, 92 walnut logs, 34 oak logs-..."
18890601p.537_p001.txt,21,Lynes Brothers offered to supply similar timber at,396,LOW,OTHER,0,2,0,2,12,1,0,"Messrs. Lynes Brothers offered to supply similar timber at once—“new yellow deal ends, in ordinary firewood lengths”—at £6 per fathom; Mr. G. Jewett wrote that he could deliver at once the 300 fathoms..."
