record_id,publication_year,publication_month,publication_day,ship_name,origin_port,destination_port,is_steamship,merchant,source_file,line_number,raw_ocr_line,arrival_year,arrival_month,arrival_day,format_type,confidence
9993,1874.0,November,28.0,Eros,Cronstadt,LONDON,False,,"16. p. 237-240 - November 28 1874 - Imports of Timber, &c. -  Timber Trades Journal Vol. 2 1875_p001.txt",75,"Nov. 17. Eros @ Cronstadt,—6,349 deals, 614 deal ends, Veneer Co.",1874.0,Nov,17,early_at,0.9
4086,1874.0,September,19.0,Familien,Cronstadt,LONDON,False,,"11. p.163-166 - September 19 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",82,"Familien @ Cronstadt,—34,498 boards, 12 fms. firewood, Tagart & Co.",1874.0,Sept,4,early_at,0.9
6214,1874.0,October,17.0,Gwalior,Cronstadt,LONDON,False,,"13. p. 193-195 - October 17 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",68,"Gwalior @ Cronstadt,—16,917 pcs. lathwood, 2 fms. firewood, Order.",1874.0,Mar,9,early_at,0.9
4065,1874.0,September,19.0,Harbinger,Cronstadt,LONDON,False,,"11. p.163-166 - September 19 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",54,"Harbinger @ Cronstadt,—5,550 ends, Rolls & Co.",1874.0,Sept,4,early_at,0.9
6207,1874.0,October,17.0,Hidalgo,Cronstadt,LONDON,True,,"13. p. 193-195 - October 17 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",61,"Hidalgo (s) @ Cronstadt,—2,450 pcs. lathwood, Reynolds & Sons ; 682 rickers, Kidman & Co.",1874.0,Mar,9,early_at,0.9
4639,1874.0,October,3.0,Jan,Cronstadt,LONDON,False,,"12. p. 179-182 - October 3 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p002.txt",62,"Jan @ Cronstadt,—198 fms. firewood, Order.",1874.0,September,18,early_at,0.9
6176,1874.0,October,17.0,Jolin and Mary,Cronstadt,LONDON,False,,"13. p. 193-195 - October 17 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",17,"Jolin and Mary @ Cronstadt,—11,045 pcs. battens, J. Neck & Son.",1874.0,Mar,9,early_at,0.9
9989,1874.0,November,28.0,Manilla,Cronstadt,LONDON,False,,"16. p. 237-240 - November 28 1874 - Imports of Timber, &c. -  Timber Trades Journal Vol. 2 1875_p001.txt",71,"Manilla @ Cronstadt,—8,004 deals, 239 battens, Order.",1874.0,Nov,16,early_at,0.9
4641,1874.0,October,3.0,Middleton,Cronstadt,LONDON,False,,"12. p. 179-182 - October 3 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p002.txt",64,"Middleton @ Cronstadt,—4,129 deals, 913 pcs. lathwood, Order.",1874.0,September,18,early_at,0.9
4078,1874.0,September,19.0,Ophelia,Cronstadt,LONDON,False,,"11. p.163-166 - September 19 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",73,"Ophelia @ Cronstadt,—9,523 deals, battens, and spars, 10 fms. firewood, 3,093 deals, Order.",1874.0,Sept,4,early_at,0.9
10064,1874.0,November,28.0,Perseus,Cronstadt,LONDON,False,,"16. p. 237-240 - November 28 1874 - Imports of Timber, &c. -  Timber Trades Journal Vol. 2 1875_p002.txt",14,"Perseus @ Cronstadt,—7,460 deals, &c., Order.",1874.0,Nov,25,early_at,0.9
4070,1874.0,September,19.0,Sarah Margaret,Cronstadt,LONDON,False,,"11. p.163-166 - September 19 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",60,"Sarah Margaret @ Cronstadt,—100½ sleeper blocks, 2 fms. firewood, Order.",1874.0,Sept,4,early_at,0.9
10010,1874.0,November,28.0,Tasmania,Cronstadt,LONDON,False,,"16. p. 237-240 - November 28 1874 - Imports of Timber, &c. -  Timber Trades Journal Vol. 2 1875_p001.txt",101,"Tasmania @ Cronstadt,—5,543 boards, 406 deal ends, Order.",1874.0,Nov,18,early_at,0.9
