year,origin_port,ship_count
1881.0,Bayonne,1
1881.0,"Beaufort, S.C.",1
1881.0,"Belize, &c.",1
1881.0,Bersiamitz,1
1881.0,Bersimis,1
1881.0,Bjornsborg,1
1881.0,Black River,1
1881.0,Bolsiamitz,1
1881.0,Bombay,1
1881.0,"Brisbane, &c.",1
1881.0,Bruges,1
1881.0,Brunswick,1
1881.0,"Brunswick, Ga.",1
1881.0,"Brunswick, Georgia",1
1881.0,Bstaiamitz,1
1881.0,"Calcutta, &c.",1
1881.0,Canterbury,1
1881.0,"Caraquet, N.B.",1
1881.0,"Chatham, N. B.",1
1881.0,Chicontimi,1
1881.0,Christinestad,1
1881.0,Cienfuegos,1
1881.0,"Coatzcoalcos, Mexico",1
1881.0,Cocanada,1
1881.0,Colon,1
1881.0,"Colon, &c.",1
1881.0,Constantinople,1
1881.0,Copenhagen,1
1881.0,Corne,1
1881.0,"Cornwallis, N.S.",1
1881.0,Dahlsbruk,1
1881.0,Dalhousie,1
1881.0,Danzig and Konigsberg,1
1881.0,Dobo,1
1881.0,Dordrecht,1
1881.0,Dunedin,1
1881.0,Eggesund,1
1881.0,Elsfleth,1
1881.0,Escoumani,1
1881.0,Fredrickshald,1
1881.0,Fredrickstad,1
1881.0,Fredrickstadt,1
1881.0,G. Jewitt President,1
1881.0,Galle,1
1881.0,Galveston,1
1881.0,Genoa,1
1881.0,Gibara,1
1881.0,"Gibara, Cuba",1
1881.0,Gothenburc,1
1881.0,Grimstad,1
1881.0,Gulstrom,1
1881.0,Helsingfors and Kotka,1
1881.0,Hernösand,1
1881.0,Holmstad,1
1881.0,Jacobstad,1
1881.0,Jacobstadt,1
1881.0,Kalix,1
1881.0,Kalmar,1
1881.0,Kemi,1
1881.0,Kingsgar,1
1881.0,Kingsgarden,1
1881.0,"Kingston, &c.",1
1881.0,Kopmansholmen,1
1881.0,Krageroe,1
1881.0,Kurrachee,1
1881.0,Kylorn,1
1881.0,Laguna,1
1881.0,Landerneau,1
1881.0,Lang,1
1881.0,Langesund,1
1881.0,Langoer,1
1881.0,"Libau, &c.",1
1881.0,Ljurne,1
1881.0,Magdalen River,1
1881.0,Manilla,1
1881.0,Mauritius,1
1881.0,Mecca,1
1881.0,Mediterranean,1
1881.0,Morlaix,1
1881.0,Musquodoboit,1
1881.0,Nantes,1
1881.0,Neder Calix,1
1881.0,Nevis,1
1881.0,Norfolk,1
1881.0,Nykoping,1
1881.0,"Odessa, &c.",1
1881.0,Oessen,1
1881.0,Onega,1
1881.0,Ostend,1
1881.0,Paramaribo,1
1881.0,Penang,1
1881.0,Philadelphia,1
