record_id,publication_year,publication_month,publication_day,ship_name,origin_port,destination_port,is_steamship,merchant,source_file,line_number,raw_ocr_line,arrival_year,arrival_month,arrival_day,format_type,confidence
20616,1881.0,February,12.0,John Hickman,New York,LONDON,False,,18810212p.105.txt,69,"5 John Hickman-New York-7,010 staves-Churchill & Sim ; 1,243 doors-Holland, McConnell, & Co. ; 1,510 bdls. staves, 400 spars-Order",1881.0,Jan,19,condensed,0.9
21474,1881.0,April,23.0,Karo,New York,LONDON,True,De Clermont,18810423p.261_p001.txt,160,Karo (s)—New York—18 walnut logs—De Clermont ; 736 staves—Churchill & Sim,1881.0,Mar,29,condensed,0.9
21671,1881.0,April,30.0,Livonia,New York,LONDON,True,,18810430p.275_p001.txt,139,"23 Livonia (s)-New York-5,324 bls. staves-H. Tate & Sons; 1,000 oars-Order",1881.0,Mar,29,condensed,0.9
24076,1881.0,July,16.0,Lizard,New York,LONDON,True,"With, Webster & Co.",18810716p.48_p002.txt,117,"Lizard (s)-New York-450 pcs. oak timber-With, Webster & Co.",1881.0,Mar,29,condensed,0.9
26291,1881.0,September,3.0,Lord of the Isles,New York,LONDON,True,,18810903p.160_p002.txt,72,"Lord of the Isles (s)-New York-2,520 staves-Order; 3,523 no. 65 bdls. doors, 529 bdls. mouldings, 5 bxs. balusters-Hul'and, McConnell, & Co.; 176 pkgs. lumber-Order",1881.0,Aug,22,condensed,0.9
24074,1881.0,July,16.0,Lottie Warren,New York,LONDON,False,,18810716p.48_p002.txt,115,"Lottie Warren-New York-98 doors, 13 bdls. 2 boxes balusters, 544 bdls. mouldings-Holland, McConnell, & Co.; 75 oars, 400 handspikes-Cunningham, Shaw, & Co.; 12 logs oak-Dottridge Bros.; 53 oak flitches, 4,855 pcs. 120 bdls. 187 pcs. poplar boards, 129 pcs. walnut, 76 squares poplar, 1,820 walnut squares, 2,400 bdls. boards-H. Hermann; 35 walnut boards, 35 1,119 bdls. hoops-H. Tate & Sons",1881.0,Mar,29,condensed,0.9
28863,1881.0,October,29.0,Lydian Monarch,New York,LONDON,True,Churchill & Sim,18811029p.295_p002.txt,85,"Lydian Monarch (s)-New York-3,531 staves-Churchill & Sim ; 501 doors-Bradley",1881.0,Oct,3,condensed,0.9
20109,1881.0,January,1.0,Marion,New York,LONDON,True,,18810101p.10.txt,62,Marion (s)—New York—200 spars—Order,1881.0,Dec,23,condensed,0.9
21706,1881.0,April,30.0,Marion,New York,LONDON,False,W. H. Jenkins & Son,18810430p.275_p001.txt,174,"Marion-New York-2,708 doors-W. H. Jenkins & Son; 325 poles-Order",1881.0,Mar,29,condensed,0.9
20932,1881.0,March,12.0,Mary Louisa,New York,LONDON,True,,18810312p.175.txt,92,"Mary Louisa (s)—New York—23 logs maple, 1,257 bdls. staves, 72 bdls. headings, 467 bdls. hoops—Order",1881.0,Mar,3,condensed,0.9
